序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,688155,先惠技术,53.4,16.37,7.51,154676.0,786430428.0,16.52,54.08,46.5,47.5,45.89,2.67,12.37,29.99,3.41,6677683030.0,6677683030.0,0.02,0.02,29.05,40.75
2,688776,国光电气,67.24,13.77,8.14,67588.0,440180873.0,14.67,68.2,59.53,60.67,59.1,1.87,6.24,151.39,3.89,7287701094.0,7287701094.0,0.0,0.0,14.82,42.61
3,688369,致远互联,29.0,11.2,2.92,104369.0,304223707.0,17.33,31.07,26.55,26.75,26.08,1.76,9.06,-19.92,2.99,3339594731.0,3339594731.0,-0.31,-0.75,31.88,44.49
4,688199,久日新材,17.57,10.78,1.71,114815.0,197030345.0,9.77,17.71,16.16,16.16,15.86,5.65,7.12,-53.18,1.11,2832762800.0,2832762800.0,0.17,-0.28,1.97,16.74
5,600400,红豆股份,2.71,10.16,0.25,1945317.0,519439050.0,8.54,2.71,2.5,2.53,2.46,4.42,8.49,1417.58,2.2,6223709719.0,6209617719.0,0.0,0.0,-15.05,8.84
6,605066,天正电气,8.87,10.05,0.81,294103.0,260783116.0,1.86,8.87,8.72,8.87,8.06,1.46,5.85,32.45,2.51,4493700551.0,4456581819.0,0.0,0.0,46.61,47.34
7,603399,永杉锂业,9.75,10.05,0.89,170081.0,162711974.0,9.59,9.75,8.9,8.91,8.86,1.16,3.32,74.31,2.8,5024961328.0,4994833828.0,0.0,0.0,-1.91,8.33
8,600105,永鼎股份,5.92,10.04,0.54,2208494.0,1288253140.0,9.48,5.92,5.41,5.47,5.38,2.28,15.11,113.28,2.83,8655009228.0,8655009228.0,0.0,0.0,9.43,19.35
9,603936,博敏电子,9.1,10.04,0.83,821847.0,733604397.0,10.52,9.1,8.23,8.4,8.27,4.09,13.04,84.42,1.27,5736621836.0,5736621836.0,0.0,0.0,5.2,8.08
10,603630,拉芳家化,14.05,10.02,1.28,122176.0,167134104.0,10.73,14.05,12.68,12.68,12.77,2.79,5.43,43.43,1.63,3164124349.0,3164124349.0,0.0,0.0,-1.2,1.96
11,603200,上海洗霸,41.21,10.01,3.75,189362.0,759469058.0,9.02,41.21,37.83,39.0,37.46,1.33,10.79,112.05,7.54,7231535045.0,7231535045.0,0.0,0.0,64.12,69.8
12,603855,华荣股份,22.31,10.01,2.03,82224.0,183440852.0,0.0,22.31,22.31,22.31,20.28,5.04,2.47,17.57,3.87,7530271990.0,7441589740.0,0.0,0.0,16.38,9.96
13,600619,海立股份,12.31,10.01,1.12,666626.0,794309181.0,12.69,12.31,10.89,11.2,11.19,1.77,8.45,436.34,2.16,13212869638.0,9714741763.0,0.0,0.0,-3.38,0.9
14,600363,联创光电,53.11,10.0,4.83,271711.0,1415268524.0,9.03,53.11,48.75,48.75,48.28,2.37,5.99,53.85,5.65,24086152440.0,24086152440.0,0.0,0.0,20.27,10.92
15,605133,嵘泰股份,28.81,10.0,2.62,83084.0,231715887.0,10.39,28.81,26.09,26.52,26.19,1.24,4.49,31.81,2.05,5358614365.0,5327502446.0,0.0,0.0,40.4,22.44
16,688393,安必平,35.2,10.0,3.2,106008.0,367002553.0,15.88,36.58,31.5,31.5,32.0,1.07,11.33,149.46,2.62,3293583005.0,3293583005.0,0.09,1.5,76.35,103.35
17,605378,野马电池,28.6,10.0,2.6,187700.0,509128251.0,13.85,28.6,25.0,25.88,26.0,1.28,10.05,34.26,4.27,5338933600.0,5338933600.0,0.0,0.0,67.35,38.83
