序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
255,301287,康力源,31.9,4.56,1.39,14155.0,45581760.5,8.85,33.88,31.18,31.18,30.51,18.44,8.31,37.25,1.92,2126773000.0,543300065.0,-0.06,-0.13,1.3,12.28
386,000809,*ST和展,3.12,3.65,0.11,76249.0,23946079.0,2.33,3.16,3.09,3.16,3.01,15.58,0.92,-24.61,0.94,2573348834.0,2573348834.0,-0.32,-0.64,13.45,1.96
445,000878,云南铜业,13.29,3.42,0.44,456197.0,607864871.9,2.72,13.45,13.1,13.13,12.85,15.15,2.28,13.12,1.8,26628220240.0,26627697358.0,-0.3,-0.45,3.75,9.02
