序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,831856,浩淼科技,31.2,30.0,7.2,199639.0,500917028.8,37.88,31.2,22.11,22.82,24.0,1.59,41.66,101.3,5.84,2698137094.0,1495070522.0,0.0,0.0,138.17,271.87
2,833030,立方控股,28.49,29.97,6.57,168845.0,475949583.99,13.37,28.49,25.56,28.0,21.92,4.59,30.18,-21.23,4.87,2628009794.0,1593908833.0,0.0,0.0,14.56,83.81
3,838837,华原股份,19.7,29.95,4.54,251775.0,465379697.2,28.03,19.7,15.45,16.12,15.16,4.22,18.41,34.64,5.66,2988741904.0,2694719404.0,0.0,0.0,31.51,101.84
4,836263,中航泰达,15.58,28.55,3.46,256917.0,372523547.24,29.62,15.75,12.16,13.66,12.12,3.14,25.04,28.31,3.76,2200564320.0,1598410422.0,-0.76,-0.95,46.7,104.46
5,300248,新开普,13.96,20.03,2.33,688985.0,910938216.71,17.71,13.96,11.9,11.9,11.63,4.54,16.84,480.68,3.21,6649823566.0,5711794852.0,0.0,0.0,18.71,44.07
6,300170,汉得信息,22.72,20.02,3.79,2822097.0,6232688730.02,8.45,22.72,21.12,21.5,18.93,2.4,29.78,123.58,4.48,22375694554.0,21529337202.0,0.0,0.0,129.03,83.23
7,301428,世纪恒通,53.86,20.01,8.98,220325.0,1114093195.84,19.96,53.86,44.9,44.97,44.88,3.99,36.0,60.72,4.28,5314186685.0,3296052485.0,0.0,0.0,47.04,38.99
8,301208,中亦科技,49.55,20.0,8.26,231345.0,1098128987.27,20.22,49.55,41.2,41.29,41.29,3.91,52.52,82.38,3.98,5946002973.0,2182630923.0,0.0,0.0,31.05,28.53
9,301280,珠城科技,74.33,20.0,12.39,88155.0,612955301.29,19.74,74.33,62.1,62.99,61.94,1.59,33.38,40.32,4.14,7262048433.0,1963248558.0,0.0,0.0,64.05,78.38
10,688369,致远互联,36.3,20.0,6.05,40383.0,143130601.0,14.21,36.3,32.0,32.37,30.25,0.56,3.51,-24.93,3.75,4180251336.0,4180251336.0,0.0,0.0,46.84,80.87
11,688333,铂力特,83.04,20.0,13.84,164039.0,1264130199.0,19.93,83.04,69.25,70.49,69.2,2.0,6.04,300.59,4.69,22567630996.0,22567630996.0,0.0,0.01,78.73,110.6
12,300819,聚杰微纤,19.38,20.0,3.23,78189.0,146173974.5,16.84,19.38,16.66,17.5,16.15,1.84,5.8,37.47,3.32,2891592900.0,2611692405.0,0.0,0.0,19.78,49.08
13,300378,鼎捷数智,44.58,20.0,7.43,464380.0,1982204712.02,10.98,44.58,40.5,41.82,37.15,1.91,17.22,181.88,5.81,12098692361.0,12019317671.0,0.0,0.0,55.71,72.32
14,301608,博实结,114.01,20.0,19.0,36616.0,394904908.39,17.27,114.01,97.6,97.65,95.01,0.67,20.57,56.48,5.15,10145749900.0,2029685827.0,0.0,0.0,83.3,66.73
15,301607,富特科技,49.93,20.0,8.32,107472.0,498666241.93,21.41,49.93,41.02,41.6,41.61,2.62,45.56,50.37,5.63,5542957530.0,1177878508.0,0.0,0.0,26.73,31.64
16,301287,康力源,36.61,19.99,6.1,74026.0,255259687.58,17.8,36.61,31.18,31.18,30.51,12.05,43.46,42.75,2.2,2440788700.0,623517724.0,0.0,0.0,16.26,28.86
17,300840,酷特智能,25.94,19.98,4.32,230343.0,597509793.88,0.0,25.94,25.94,25.94,21.62,1.1,13.45,29.96,4.69,6225600000.0,4441087038.0,0.0,0.0,23.52,29.57
18,300344,立方数科,12.49,19.98,2.08,1865086.0,2121756036.66,21.9,12.49,10.21,10.69,10.41,1.87,29.18,-116.53,24.2,8014913136.0,7983750274.0,0.0,0.0,102.43,180.67
19,301032,新柴股份,12.92,19.96,2.15,466423.0,587048507.0,19.5,12.92,10.82,10.82,10.77,2.81,29.4,49.97,2.74,3115443528.0,2049790623.0,0.0,0.0,20.19,37.59
20,688096,京源环保,12.38,19.96,2.06,196495.0,238332161.0,15.31,12.38,10.8,11.0,10.32,8.81,12.9,-80.54,2.41,1886271272.0,1886271272.0,0.0,0.0,44.12,65.95
21,300058,蓝色光标,10.58,19.95,1.76,6705753.0,6728409548.93,18.37,10.58,8.96,8.97,8.82,5.26,27.37,162.81,3.36,26733583506.0,25916724802.0,0.0,0.0,0.57,14.01
22,688068,热景生物,85.72,19.34,13.89,53656.0,424889392.0,22.05,86.18,70.34,71.68,71.83,1.2,5.8,-44.23,2.57,7926930598.0,7926930598.0,0.0,-0.29,54.59,38.62
23,300662,科锐国际,33.6,19.15,5.4,252109.0,816561722.13,18.94,33.84,28.5,28.87,28.2,2.46,12.84,32.49,3.34,6612693662.0,6595128691.0,-0.71,-0.06,56.35,59.54
24,300311,任子行,7.92,18.39,1.23,2059418.0,1604918520.71,19.13,8.03,6.75,6.75,6.69,7.4,38.32,-45.1,8.52,5335150788.0,4256280017.0,0.13,0.0,5.32,35.38
25,833455,汇隆活塞,13.99,18.36,2.17,180099.0,222470011.78,31.56,15.0,11.27,11.6,11.82,1.79,19.38,53.47,7.14,2482525500.0,1300069113.0,0.79,-0.78,26.04,100.14
26,300153,科泰电源,39.5,18.12,6.06,564908.0,2112174095.46,18.69,40.13,33.88,34.78,33.44,1.25,17.75,378.67,14.71,12640000000.0,12574039661.0,-0.53,0.77,365.8,149.53
27,688590,新致软件,26.59,17.6,3.98,315522.0,806470409.0,14.24,27.13,23.91,24.4,22.61,2.01,12.01,870.09,4.78,6983952603.0,6983952603.0,0.34,0.34,44.28,65.88
28,300605,恒锋信息,16.34,16.63,2.33,213873.0,324722279.24,15.49,16.34,14.17,14.17,14.01,3.58,18.82,-81.88,5.09,2687986847.0,1857161426.0,0.18,2.51,18.06,39.54
29,300428,立中集团,21.11,16.57,3.0,469534.0,933421482.27,19.49,21.54,18.01,18.17,18.11,6.74,8.52,19.35,1.84,13370057765.0,11640226595.0,0.0,0.38,16.5,29.51
