序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
57,833075,柏星龙,38.9,6.99,2.54,29102.0,112650069.96,5.78,39.98,37.88,38.02,36.36,31.69,8.34,44.6,6.18,2521303500.0,1356787810.0,-0.87,2.31,3.51,45.53
59,600301,华锡有色,23.04,6.91,1.49,45875.0,103246458.0,6.08,23.05,21.74,21.74,21.55,11.12,1.67,20.23,3.76,14574354716.0,6343734090.0,1.9,5.98,22.55,35.45
60,605069,正和生态,9.35,6.86,0.6,163634.0,153495071.0,9.94,9.63,8.76,9.0,8.75,104.86,19.44,373.02,1.9,1979374224.0,786907949.0,-0.53,3.89,6.61,22.54
61,002105,信隆健康,7.5,6.84,0.48,214296.0,160206769.87,6.98,7.72,7.23,7.28,7.02,44.02,5.88,2471.6,3.07,2760450000.0,2733539813.0,0.81,3.02,35.38,50.3
62,603822,嘉澳环保,60.44,6.78,3.84,13148.0,76440052.0,8.71,60.49,55.56,57.5,56.6,26.2,1.71,-25.9,5.15,4643356550.0,4643356550.0,3.39,5.11,13.29,23.95
63,002315,焦点科技,52.34,6.77,3.32,123176.0,630953131.16,5.59,52.44,49.7,50.0,49.02,30.32,6.1,36.8,6.61,16604125383.0,10574413291.0,1.24,4.68,30.65,25.58
64,002657,中科金财,22.75,6.61,1.41,260588.0,586555485.07,4.55,22.93,21.96,22.11,21.34,56.12,7.75,-74.07,4.27,7736182886.0,7652105006.0,0.62,2.89,6.76,24.18
68,301113,雅艺科技,26.46,6.35,1.58,11752.0,31629327.0,9.73,28.5,26.08,26.12,24.88,77.3,2.78,248.37,2.6,1852200000.0,1118744676.0,-1.31,1.3,0.53,14.15
69,300280,紫天科技,11.74,6.24,0.69,69419.0,81040123.17,4.25,11.9,11.43,11.43,11.05,12.74,4.33,168.55,1.55,1902651835.0,1883966744.0,-0.51,2.71,-29.06,-44.36
70,830879,基康仪器,18.58,6.17,1.08,11225.0,20275862.02,8.46,18.78,17.3,17.72,17.5,16.25,1.0,25.22,4.35,2591868678.0,2094476913.0,2.09,4.85,22.96,57.86
73,600818,中路股份,11.65,5.91,0.65,65269.0,76670285.0,5.91,12.1,11.45,11.5,11.0,49.13,2.74,976.33,6.12,3744868152.0,2772209652.0,-0.77,1.3,-7.91,0.78
76,002970,锐明技术,53.52,5.73,2.9,17010.0,89888803.0,5.33,53.7,51.0,51.0,50.62,14.82,1.46,32.3,5.74,9488061512.0,6215777744.0,1.0,4.94,21.22,12.37
77,003002,壶化股份,25.39,5.7,1.37,12984.0,32514894.0,3.08,25.4,24.66,24.8,24.02,23.45,0.71,36.77,3.81,5078000000.0,4643183555.0,1.36,2.38,12.74,12.54
78,430198,微创光电,17.07,5.7,0.92,23215.0,38873203.94,5.7,17.25,16.33,16.56,16.15,10.6,3.3,502.37,6.22,2754481295.0,1199071532.0,2.46,3.08,5.18,63.82
79,000056,皇庭国际,3.9,5.69,0.21,382083.0,147523369.0,7.86,4.0,3.71,3.71,3.69,11.14,4.23,-13.53,6.44,4719346008.0,3524319076.0,1.3,5.12,6.56,42.86
82,837174,宏裕包材,15.84,5.6,0.84,12372.0,19402198.28,5.4,16.0,15.19,15.3,15.0,18.58,1.52,260.27,2.68,1288320011.0,1288320011.0,1.15,3.53,-7.15,38.22
83,688292,浩瀚深度,25.87,5.51,1.35,11179.0,28276305.0,5.02,25.9,24.67,24.78,24.52,17.91,1.24,113.82,3.93,4096428275.0,2328828498.0,3.03,4.4,18.18,30.66
84,688296,和达科技,15.23,5.47,0.79,9709.0,14539874.0,5.68,15.28,14.46,14.5,14.44,16.17,0.9,311.52,2.35,1648505252.0,1635597827.0,0.2,5.03,20.21,35.74
88,603588,高能环境,5.63,5.43,0.29,187824.0,105572021.0,6.55,5.8,5.45,5.45,5.34,38.37,1.23,11.47,0.9,8575809993.0,8575809993.0,-0.71,3.3,5.04,7.44
89,300260,新莱应材,26.1,5.41,1.34,52062.0,134577479.6,6.18,26.39,24.86,25.02,24.76,25.87,1.81,42.68,5.33,10643756227.0,7507324265.0,-0.38,4.32,-5.09,-3.65
91,688105,诺唯赞,24.05,5.39,1.23,7597.0,17871214.0,6.18,24.14,22.73,22.82,22.82,14.13,0.19,-562.62,2.42,9565515783.0,9565515783.0,2.78,5.39,-2.12,8.48
92,300242,佳云科技,5.34,5.33,0.27,212494.0,113699545.0,5.33,5.47,5.2,5.2,5.07,23.77,3.38,-61.42,9.35,3388524896.0,3361939161.0,-0.37,2.69,9.2,31.2
93,002851,麦格米特,57.44,5.32,2.9,81688.0,461264368.0,5.08,57.57,54.8,54.88,54.54,14.46,1.79,57.17,5.43,31340294876.0,26220148418.0,1.29,4.66,40.1,-6.54
94,300952,恒辉安防,31.06,5.29,1.56,29886.0,94769048.21,7.02,32.69,30.62,30.62,29.5,20.45,5.23,36.58,3.75,4587898069.0,1776104570.0,-2.69,1.44,26.26,49.11
96,605333,沪光股份,38.16,5.18,1.88,20853.0,77830221.0,5.71,38.17,36.1,36.36,36.28,11.68,0.48,28.51,8.5,16667375251.0,16667375251.0,2.0,4.95,19.59,16.95
101,301628,强达电路,95.0,5.1,4.61,7049.0,66080044.0,2.94,95.01,92.35,92.4,90.39,14.26,3.74,67.41,6.85,7160701000.0,1790180000.0,0.61,2.81,16.34,16.42
102,300509,新美星,10.36,5.07,0.5,20481.0,20859040.5,5.68,10.37,9.81,9.85,9.86,12.27,0.83,84.58,5.45,3070704000.0,2559992498.0,1.27,5.18,36.32,49.49
103,000809,*ST和展,3.32,5.06,0.16,53221.0,17532414.0,2.22,3.32,3.25,3.29,3.16,40.29,0.65,-26.19,1.0,2738307093.0,2738307093.0,1.22,0.91,21.17,8.5
105,000695,滨海能源,12.19,5.0,0.58,32090.0,38762113.0,2.5,12.23,11.94,11.95,11.61,11.45,1.45,1124.48,14.55,2707978500.0,2702771237.0,0.99,2.01,2.87,17.78
106,600133,东湖高新,10.86,4.93,0.51,361989.0,388342577.0,4.93,10.95,10.44,10.61,10.35,59.83,3.4,39.74,1.36,11579365043.0,11579365043.0,0.37,2.36,0.18,16.15
107,002042,华孚时尚,6.61,4.92,0.31,528279.0,345438541.79,7.14,6.75,6.3,6.3,6.3,22.02,3.11,176.47,1.87,11241503757.0,11241503757.0,1.07,4.92,47.54,46.89
110,002149,西部材料,21.17,4.85,0.98,50998.0,106374612.0,3.57,21.17,20.45,20.45,20.19,11.22,1.04,56.23,3.5,10335496181.0,10333908431.0,1.1,3.52,32.56,19.6
111,300873,海晨股份,23.57,4.85,1.09,43936.0,101873667.0,3.91,23.68,22.8,22.88,22.48,16.06,2.6,18.69,1.85,5435283931.0,3988979375.0,1.2,3.02,32.79,39.38
113,600330,天通股份,7.67,4.78,0.35,167839.0,127947388.0,2.46,7.72,7.54,7.55,7.32,28.72,1.36,57.12,1.18,9460441971.0,9460441971.0,0.52,1.59,-0.78,8.03
