序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
104,600531,豫光金铅,7.48,8.25,0.57,1510266,1121499933.0,9.55,7.6,6.94,6.94,6.91,5.54,13.85,11.04,1.56,8155014902,8155014902,0.0,0.0,9.68,16.51
105,600590,泰豪科技,11.63,8.19,0.88,1698243,1934983824.0,9.12,11.78,10.8,11.0,10.75,1.63,20.13,-37.16,3.03,9918875193,9810713552,1.22,0.95,114.97,114.58
106,300956,英力股份,23.66,8.14,1.78,218571,513348919.49,15.31,25.0,21.65,21.8,21.88,2.93,24.42,516.89,3.08,4247515363,2117970777,-0.29,-0.21,26.39,4.69
107,300503,昊志机电,29.78,8.13,2.24,520024,1493780636.28,10.09,29.99,27.21,27.21,27.54,1.74,21.75,84.57,7.68,9114849056,7120019854,-0.03,-0.03,45.2,57.4
108,830896,旺成科技,24.01,8.1,1.8,85718,199322530.41,13.46,24.4,21.41,21.78,22.21,1.45,19.31,50.5,5.86,2430394002,1066087458,0.21,0.54,19.69,70.28
109,839167,同享科技,25.66,8.09,1.92,79311,195436822.71,9.9,25.68,23.33,23.99,23.74,1.69,12.15,34.08,4.45,2815059168,1674942053,-0.08,0.71,0.59,33.99
110,301007,德迈仕,28.2,8.09,2.11,359988,991708046.03,9.85,28.76,26.19,26.46,26.09,1.76,23.95,79.18,6.58,4324188000,4238159332,-0.49,0.0,59.59,53.43
111,000504,南华生物,10.89,8.04,0.81,142730,150621407.6,9.23,10.98,10.05,10.07,10.08,1.71,4.59,-320.48,14.45,3593951537,3383182154,0.0,-0.46,2.35,30.42
112,301210,金杨股份,81.61,8.02,6.06,84811,698956517.53,16.06,88.0,75.87,75.98,75.55,1.16,27.12,137.89,3.7,6729263213,2551863580,0.06,-1.25,139.19,165.57
113,002149,西部材料,21.8,7.97,1.61,492165,1069831735.55,8.72,22.21,20.45,20.45,20.19,2.26,10.08,57.91,3.61,10643071173,10641436173,0.23,-0.68,36.51,23.16
114,301413,安培龙,108.25,7.97,7.99,60799,640670566.4,10.96,110.0,99.01,99.01,100.26,1.25,10.57,128.04,8.97,10652014876,6226533613,-0.14,0.25,86.48,102.3
115,688768,容知日新,57.78,7.94,4.25,28778,161664666.0,10.22,58.35,52.88,52.88,53.53,1.19,3.53,47.0,4.81,5051552456,4716353053,0.0,0.03,59.04,59.0
116,688282,*ST导航,37.1,7.82,2.69,24318,89850721.0,13.78,38.88,34.14,34.48,34.41,3.24,6.66,-782.81,2.55,3264800000,1354892000,-0.27,-0.59,21.76,20.06
