序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
113,600797,浙大网新,10.8,4.65,0.48,1043069.0,1117201781.0,6.69,11.05,10.36,10.52,10.32,12.19,10.15,-167.84,3.38,11097292702.0,11097292702.0,-0.37,-0.92,48.97,50.42
118,300458,全志科技,65.21,4.59,2.86,536007.0,3465552554.69,4.97,66.1,63.0,63.9,62.35,8.97,10.35,247.77,13.76,41296520067.0,33776796116.0,0.51,0.63,81.34,68.24
122,301557,C常友,94.02,4.48,4.03,28658.0,262036528.49,11.08,95.97,86.0,86.97,89.99,4.95,25.86,39.59,4.18,4165826031.0,1041741600.0,-0.36,0.99,225.55,225.55
147,601789,宁波建工,6.55,3.97,0.25,1193740.0,782428102.0,7.14,6.77,6.32,6.32,6.3,10.51,10.98,24.31,1.62,7118530765.0,7118530765.0,1.39,0.46,28.94,47.52
199,000678,襄阳轴承,8.94,3.11,0.27,460400.0,408210666.47,7.61,9.23,8.57,8.7,8.67,10.73,10.02,-158.41,5.04,4108929465.0,4108929465.0,0.45,-0.11,42.58,37.33
308,300044,赛为智能,8.52,2.16,0.18,1175830.0,1016033332.76,4.68,8.8,8.41,8.6,8.34,17.33,15.4,-277.89,10.54,6508165823.0,6507349692.0,-0.58,-1.62,8.26,42.0
