序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
132,301208,中亦科技,51.94,4.82,2.39,151938.0,768038727.52,10.53,52.99,47.77,49.06,49.55,32.67,34.49,86.35,4.17,6232803116.0,2287908176.0,-0.17,-0.23,39.89,34.73
133,002158,汉钟精机,20.23,4.82,0.93,68438.0,137677061.88,6.68,20.5,19.21,19.21,19.3,20.87,1.28,12.23,2.55,10817469332.0,10794771474.0,-1.17,-0.05,2.53,9.23
135,000657,中钨高新,10.24,4.81,0.47,174657.0,176879263.08,4.09,10.25,9.85,9.9,9.77,18.97,1.4,77.84,2.01,21396282327.0,12772445563.0,1.19,0.79,0.2,11.18
161,001319,铭科精技,31.98,4.37,1.34,100344.0,322568226.59,6.82,33.09,31.0,31.25,30.64,25.81,16.46,44.32,3.59,4521972000.0,1949724660.0,0.0,0.22,26.9,27.16
162,600133,东湖高新,10.8,4.35,0.45,503730.0,541511348.0,4.93,10.95,10.44,10.61,10.35,32.02,4.72,39.52,1.35,11515390650.0,11515390650.0,-0.09,0.65,-0.37,15.51
190,600379,宝光股份,10.0,3.84,0.37,38597.0,38385293.0,4.15,10.05,9.65,9.67,9.63,16.64,1.17,35.87,4.51,3302015640.0,3302015640.0,0.81,0.6,-1.19,5.82
195,000751,锌业股份,3.02,3.78,0.11,206227.0,61252635.92,5.15,3.04,2.89,2.89,2.91,17.26,1.46,861.29,1.36,4879204397.0,4257803713.0,1.34,1.68,-4.13,7.47
200,600303,ST曙光,3.07,3.72,0.11,68622.0,21030926.0,3.04,3.11,3.02,3.02,2.96,17.85,1.02,-7.04,1.43,2098664928.0,2074104928.0,0.99,0.0,-4.36,3.02
223,601900,南方传媒,14.81,3.42,0.49,86489.0,127984395.0,4.75,15.0,14.32,14.37,14.32,19.12,0.97,18.8,1.66,13267931942.0,13267931942.0,-0.54,-0.2,4.15,-1.99
226,003002,壶化股份,24.84,3.41,0.82,24414.0,61367675.0,5.83,25.66,24.26,24.8,24.02,16.96,1.34,35.97,3.72,4968000000.0,4542602580.0,0.16,-1.82,10.3,10.11
233,603268,松发股份,43.76,3.35,1.42,18346.0,80457214.0,4.63,44.3,42.34,42.34,42.34,16.3,1.48,-67.57,364.69,5433626688.0,5433626688.0,-0.16,0.21,11.86,10.34
235,600834,申通地铁,8.73,3.31,0.28,80002.0,69589788.0,5.92,8.88,8.38,8.43,8.45,30.53,1.68,60.58,2.45,4167544031.0,4167544031.0,-0.8,0.58,-1.47,7.51
239,600497,驰宏锌锗,5.75,3.23,0.18,544363.0,309498857.0,3.41,5.75,5.56,5.56,5.57,15.37,1.07,14.9,1.77,29274926516.0,29274926516.0,0.52,0.52,-5.27,3.23
284,600668,尖峰集团,10.33,2.89,0.29,25036.0,25674346.0,4.28,10.45,10.02,10.06,10.04,15.1,0.73,37.78,0.7,3554385943.0,3554385943.0,-0.29,0.58,-4.0,1.77
336,300428,立中集团,21.62,2.42,0.51,158131.0,340616989.14,5.12,22.06,20.98,21.04,21.11,19.77,2.87,19.82,1.89,13693067213.0,11921444765.0,-0.18,1.79,20.85,32.64
352,000040,*ST旭蓝,0.88,2.33,0.02,688810.0,58196046.29,9.3,0.9,0.82,0.82,0.86,131.89,6.53,-7.49,0.12,1308449006.0,928046231.0,0.0,0.0,-40.54,-7.37
364,002609,捷顺科技,9.53,2.25,0.21,180996.0,170452507.97,4.08,9.66,9.28,9.41,9.32,34.78,3.94,107.25,2.58,6150249932.0,4378135282.0,0.42,0.53,7.81,15.38
381,600449,宁夏建材,15.04,2.17,0.32,107886.0,161757766.0,2.72,15.15,14.75,14.89,14.72,18.67,2.26,31.57,1.0,7191842872.0,7191842872.0,-0.27,-0.4,5.03,0.13
406,300358,楚天科技,8.02,2.04,0.16,124230.0,100606610.8,2.54,8.19,7.99,8.01,7.86,15.61,2.16,-18.96,1.05,4734242980.0,4620998110.0,-0.74,-0.12,1.01,16.91
409,001387,雪祺电气,14.18,2.01,0.28,24334.0,34822174.5,5.97,14.65,13.82,13.82,13.9,20.42,2.28,35.67,2.16,2595484512.0,1515704922.0,-0.28,-0.98,-7.44,2.83
