序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,830779,武汉蓝电,65.78,30.0,15.18,48233.0,295755199.72,25.26,65.78,53.0,53.0,50.6,1.26,33.7,38.34,7.35,3762616000.0,941522362.0,0.0,0.0,49.33,98.73
2,837023,芭薇股份,22.58,29.99,5.21,152912.0,312694006.61,28.32,22.58,17.66,18.86,17.37,3.11,44.62,31.78,4.84,1937364000.0,773735538.0,0.0,0.0,21.99,59.92
3,831627,力王股份,37.67,29.99,8.69,153034.0,544267607.88,26.26,37.67,30.06,30.15,28.98,1.96,32.69,81.29,7.94,3557931500.0,1763615225.0,0.0,0.0,24.74,95.99
4,835237,力佳科技,46.21,29.99,10.66,100509.0,428611253.74,30.13,46.21,35.5,35.5,35.55,2.38,15.45,31.22,6.11,3070931760.0,3006954015.0,0.0,0.04,50.57,106.48
5,831856,浩淼科技,18.43,29.97,4.25,84012.0,149312574.7,20.87,18.43,15.47,15.47,14.18,1.6,17.53,59.84,3.45,1593803418.0,883145825.0,0.0,0.0,47.44,119.67
6,836239,长虹能源,58.15,25.32,11.75,175925.0,952333379.52,25.65,60.0,48.1,48.1,46.4,1.7,35.39,28.9,8.34,7562582124.0,2890903060.0,-0.05,-0.27,65.29,103.54
7,835508,殷图网联,48.0,22.82,8.92,66453.0,304672468.19,24.31,49.0,39.5,39.5,39.08,1.93,25.52,349.46,11.72,2400000000.0,1249800000.0,0.02,-0.02,20.33,66.32
8,873152,天宏锂电,23.29,19.62,3.82,187146.0,416750697.34,23.63,24.2,19.6,19.7,19.47,2.35,27.43,248.15,9.17,2390733988.0,1589105556.0,0.0,0.04,4.16,55.79
9,838030,德众汽车,7.95,18.83,1.26,322593.0,250665305.91,26.01,8.45,6.71,6.71,6.69,3.84,33.01,177.54,3.02,1421775464.0,776930055.0,-0.38,-0.63,-0.63,40.46
10,871396,常辅股份,23.4,18.6,3.67,72619.0,162566377.46,27.52,25.13,19.7,20.3,19.73,3.64,17.29,27.78,4.28,1403772552.0,982889365.0,0.78,1.61,11.75,47.08
11,830809,安达科技,6.8,18.06,1.04,485441.0,314957872.47,27.26,7.28,5.71,5.72,5.76,3.62,15.14,-4.5,2.27,4083062795.0,2179962618.0,0.15,0.0,-7.86,36.55
12,920106,林泰新材,106.0,16.48,15.0,45378.0,472938231.95,22.86,116.0,95.2,108.89,91.0,2.97,37.48,39.12,9.58,4227015000.0,1283208970.0,-0.61,1.38,434.81,76.67
13,430489,佳先股份,23.91,15.79,3.26,203859.0,469629833.79,20.58,25.13,20.88,21.1,20.65,1.96,23.79,195.87,6.55,3262739472.0,2048937539.0,-0.13,0.21,-7.33,45.79
14,920002,万达轴承,265.9,15.61,35.9,32241.0,777059209.12,23.48,269.0,215.0,230.0,230.0,0.98,56.07,112.58,12.75,8642313708.0,1528925000.0,0.04,3.66,299.25,295.51
