序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高_x,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅,最高_y
172,301235,华康医疗,20.97,4.95,0.99,32981,69469601.79,3.3,21.38,20.72,20.77,19.98,19.32,6.47,84.58,1.25,2214432000,1068463440,-0.14,-0.1,-3.9,3.76,20.3
192,002690,美亚光电,16.45,4.78,0.75,87561,143488143.38,5.35,16.76,15.92,15.95,15.7,12.94,2.02,24.19,5.66,14513135053,7138693242,-0.42,-1.44,10.03,11.0,15.81
193,300667,必创科技,18.43,4.78,0.84,63113,115926827.0,7.28,18.88,17.6,17.86,17.59,10.95,3.66,-751.45,2.96,3771442199,3181909312,-0.38,-1.18,-3.2,13.98,17.86
191,300412,迦南科技,5.9,4.8,0.27,301783,179510707.0,7.99,6.18,5.73,5.73,5.63,10.04,6.38,81.19,2.79,2936764158,2790172811,0.0,0.0,8.46,27.71,5.78
171,603388,ST元成,3.6,4.96,0.17,89225,31932581.0,3.5,3.6,3.48,3.52,3.43,9.8,2.74,-10.6,1.08,1172640859,1172640859,0.0,0.0,7.46,35.85,3.43
181,301149,隆华新材,13.06,4.9,0.61,173822,230168344.44,9.0,13.82,12.7,12.95,12.45,8.76,8.52,30.8,2.98,5615800235,2664512758,0.46,-1.58,25.34,32.05,12.45
186,688162,巨一科技,28.8,4.84,1.33,25669,73693879.0,4.81,29.28,27.96,27.99,27.47,7.84,4.11,186.36,1.7,3951324720,1800598320,0.84,0.38,25.87,6.16,27.92
184,000711,*ST京蓝,1.73,4.85,0.08,220080,37911567.45,1.82,1.73,1.7,1.7,1.65,7.65,0.96,-56.65,7.33,4942568866,3953446770,0.0,0.0,-7.98,7.45,1.65
