序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,871634,新威凌,28.08,30.0,6.48,119264.0,318647085.78,30.93,28.08,21.4,21.4,21.6,3.57,36.38,48.38,6.68,1790438252.0,920484190.0,0.0,0.0,19.49,85.96
2,871245,威博液压,57.69,29.99,13.31,18459.0,96710947.53,32.85,57.69,43.11,43.42,44.38,2.51,7.58,96.59,8.44,2872962000.0,1405041450.0,0.0,0.0,114.54,51.02
3,835579,机科股份,32.21,29.98,7.43,190903.0,563925199.91,30.99,32.21,24.53,25.0,24.78,3.25,42.83,263.97,7.99,4170550800.0,1435742068.0,0.0,0.0,21.04,73.36
4,833030,立方控股,37.03,29.98,8.54,176871.0,634197808.96,15.69,37.03,32.56,32.99,28.49,2.94,31.61,-27.6,6.33,3415767029.0,2071689860.0,0.0,0.0,58.38,138.9
5,831856,浩淼科技,39.18,25.58,7.98,178688.0,623033014.28,33.78,39.9,29.36,29.9,31.2,1.26,37.29,127.21,7.33,3388237543.0,1877463560.0,-1.63,5.38,193.92,366.98
6,836263,中航泰达,19.18,23.11,3.6,213537.0,344930091.35,36.14,19.88,14.25,14.29,15.58,1.74,20.81,34.85,4.62,2709038745.0,1967747876.0,-0.1,-0.26,86.94,151.71
7,300515,三德科技,20.2,20.02,3.37,233704.0,457343030.86,14.62,20.2,17.74,17.74,16.83,2.6,12.72,39.94,5.6,4156240900.0,3712516954.0,0.0,0.0,64.09,69.61
8,300938,信测标准,38.5,20.01,6.42,288860.0,1056244394.21,20.95,38.5,31.78,31.9,32.08,4.65,25.63,32.54,5.62,6207167698.0,4339703522.0,0.0,0.0,75.0,49.92
9,300953,震裕科技,173.41,20.0,28.9,136210.0,2219696945.25,20.7,173.41,143.5,144.4,144.51,2.14,16.14,89.91,6.1,20667800446.0,14632496551.0,0.0,0.0,136.61,149.01
10,301225,恒勃股份,37.64,19.99,6.27,119126.0,426626980.14,20.66,37.64,31.16,31.16,31.37,5.82,39.47,33.74,2.73,3891223200.0,1135975200.0,0.0,0.0,30.69,41.82
11,300248,新开普,16.75,19.99,2.79,1144042.0,1896064492.89,7.38,16.75,15.72,16.0,13.96,4.85,27.96,576.75,3.85,7978835583.0,6853335513.0,0.0,0.0,36.07,72.86
12,838670,恒进感应,23.8,18.7,3.75,146813.0,334050053.24,28.88,25.98,20.19,20.2,20.05,2.06,22.24,111.45,7.08,3189200000.0,1570869020.0,0.8,0.93,13.82,52.27
