序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,301557,N常友,89.99,211.6,61.11,92696.0,885206811.04,172.33,130.0,80.23,80.23,28.88,,83.66,37.89,4.0,3987265311.0,997089200.0,-0.01,-0.01,211.6,211.6
2,300211,亿通科技,10.67,20.02,1.78,280259.0,283919551.82,20.81,10.67,8.82,8.92,8.89,0.97,9.39,-81.9,6.63,3242930144.0,3184801062.0,0.0,0.0,1.43,19.89
3,301112,信邦智能,31.06,20.02,5.18,85065.0,257750931.78,21.06,31.06,25.61,25.62,25.88,2.05,23.46,298.17,2.79,3424880596.0,1126139594.0,0.0,0.0,15.77,32.91
4,301357,北方长龙,35.74,20.01,5.96,72745.0,244993839.89,20.95,35.74,29.5,29.6,29.78,4.19,30.57,-245.33,3.02,3402448000.0,850612000.0,0.0,0.0,-5.57,7.52
5,300044,赛为智能,8.34,20.0,1.39,2030694.0,1634890399.09,15.54,8.34,7.26,7.27,6.95,1.99,26.59,-272.02,10.32,6370669362.0,6369870473.0,0.0,0.0,12.7,39.0
6,300042,朗科科技,30.2,19.98,5.03,556139.0,1514506713.34,25.63,30.2,23.75,24.6,25.17,2.15,27.75,-66.55,5.71,6052080000.0,6052080000.0,0.0,0.0,37.9,30.74
7,300183,东软载波,20.96,19.98,3.49,555925.0,1078121464.21,25.47,20.96,16.51,16.66,17.47,2.3,15.48,86.55,3.05,9696287512.0,7525191500.0,0.0,0.0,25.89,8.32
8,300512,中亚股份,9.19,19.97,1.53,153417.0,138534494.75,18.02,9.19,7.81,7.88,7.66,2.07,4.67,74.62,2.32,3746219641.0,3019279393.0,0.0,0.0,15.02,34.95
9,300451,创业慧康,6.88,17.81,1.04,3615634.0,2402303587.84,22.26,7.01,5.71,5.78,5.84,3.25,23.68,151.53,2.29,10657977881.0,10503653138.0,0.29,0.0,28.6,53.57
10,300458,全志科技,62.35,16.15,8.67,1293240.0,7487386332.76,25.24,64.0,50.45,51.02,53.68,1.57,24.97,236.91,13.15,39485324738.0,32295403126.0,0.03,-0.24,75.78,60.86
11,300083,创世纪,10.4,12.8,1.18,4692651.0,4745816994.18,18.76,10.8,9.07,9.07,9.22,1.28,31.43,64.41,3.38,17314570926.0,15527566226.0,0.0,0.0,42.27,59.75
12,300099,尤洛卡,7.19,12.7,0.81,755306.0,516071241.93,13.95,7.19,6.3,6.3,6.38,4.41,12.99,69.8,2.25,5300937183.0,4180354006.0,0.14,1.41,3.3,19.83
13,300324,旋极信息,5.69,12.23,0.62,5918075.0,3077738969.51,30.97,6.07,4.5,4.62,5.07,1.46,34.65,-51.23,3.27,9829990486.0,9719484205.0,-0.18,-0.18,45.15,71.9
14,301269,华大九天,117.71,11.23,11.88,129798.0,1492279691.0,17.47,123.5,105.01,105.11,105.83,2.1,4.95,818.72,13.03,63909675511.0,30877857409.0,-0.01,0.2,-6.53,-2.8
15,301213,观想科技,50.31,11.08,5.02,42097.0,204206433.7,12.87,50.93,45.1,45.4,45.29,1.96,8.14,548.11,5.04,4024799950.0,2601582875.0,0.0,-0.06,24.9,16.65
16,300223,北京君正,92.0,11.07,9.17,552358.0,4870230796.22,17.96,95.08,80.2,81.01,82.83,1.18,13.16,109.15,3.72,44304431812.0,38602335108.0,0.08,0.11,33.37,34.9
17,301013,利和兴,19.05,10.95,1.88,436489.0,808401471.08,11.65,19.32,17.32,17.5,17.17,0.74,23.07,217.94,5.23,4452805217.0,3605053204.0,0.32,0.47,43.13,62.13
18,300287,飞利信,7.52,10.91,0.74,2971142.0,2163344425.58,18.29,7.84,6.6,6.63,6.78,1.69,22.67,-65.26,8.57,10793259036.0,9856846625.0,0.13,0.4,52.54,79.05
19,300321,同大股份,33.28,10.53,3.17,50247.0,162728263.02,12.65,34.3,30.49,30.49,30.11,1.79,5.66,193.34,4.69,2955264000.0,2954485248.0,-0.03,-0.06,70.06,61.87
20,300718,长盛轴承,105.0,10.53,10.0,448204.0,4528723161.12,14.29,106.58,93.0,93.85,95.0,1.16,23.12,139.08,19.41,31371798150.0,20355744465.0,0.07,0.0,474.71,242.13
21,300733,西菱动力,16.93,10.29,1.58,232762.0,381145470.5,11.79,17.0,15.19,15.19,15.35,2.13,10.32,104.48,3.21,5175099420.0,3818016066.0,0.12,0.3,46.71,45.07
22,300777,中简科技,33.7,10.17,3.11,323381.0,1081592791.98,12.29,34.86,31.1,31.5,30.59,3.44,7.63,48.07,3.49,14818143997.0,14280131821.0,0.0,0.45,24.22,19.12
23,002105,信隆健康,5.8,10.06,0.53,166786.0,95375629.0,10.25,5.8,5.26,5.31,5.27,1.1,4.58,1911.37,2.37,2134748000.0,2113937455.0,0.0,0.0,4.88,16.23
24,002246,北化股份,11.06,10.05,1.01,285810.0,303765478.39,9.55,11.06,10.1,10.1,10.05,2.27,5.21,-97.86,2.17,6072324822.0,6072324822.0,0.0,0.0,-10.52,9.18
25,002590,万安科技,14.03,10.04,1.28,183195.0,249044344.64,11.06,14.03,12.62,12.73,12.75,1.84,4.02,37.01,2.58,7282306252.0,6391417555.0,0.0,0.0,-2.57,14.81
26,002313,日海智能,11.52,10.03,1.05,142364.0,162563322.52,8.88,11.52,10.59,10.68,10.47,0.68,3.8,-40.73,35.16,4313088000.0,4313043936.0,0.0,0.0,33.33,46.94
27,000678,襄阳轴承,8.67,10.03,0.79,808068.0,669945524.41,15.74,8.67,7.43,7.43,7.88,1.35,17.58,-153.62,4.89,3984834280.0,3984834280.0,0.0,0.0,44.74,33.18
28,002960,青鸟消防,13.28,10.02,1.21,504069.0,661993403.67,10.77,13.28,11.98,12.01,12.07,4.14,8.25,21.83,1.6,9758316826.0,8113320809.0,0.0,0.0,19.64,13.8
29,002227,奥 特 迅,15.15,10.02,1.38,103122.0,156230208.4,0.07,15.15,15.14,15.15,13.77,0.86,4.16,-120.26,3.63,3754263476.0,3751726805.0,0.0,0.0,35.39,23.07
30,000710,贝瑞基因,15.59,10.02,1.42,635618.0,956073847.12,10.3,15.59,14.13,14.19,14.17,1.07,19.97,398.01,2.94,5511399639.0,4961651465.0,0.0,0.0,61.05,84.5
31,002126,银轮股份,33.73,10.01,3.07,1118084.0,3656768189.38,13.8,33.73,29.5,29.5,30.66,1.27,14.26,34.94,4.64,28151080127.0,26445546389.0,0.0,0.0,88.65,80.18
32,002989,中天精装,29.7,10.0,2.7,120051.0,343674384.46,11.11,29.7,26.7,26.8,27.0,2.17,6.7,-39.92,3.37,5794119689.0,5321444189.0,0.0,0.0,32.89,34.51
33,002879,长缆科技,19.36,10.0,1.76,198281.0,367013109.18,12.16,19.36,17.22,17.23,17.6,2.28,14.38,50.41,2.2,3738563910.0,2669434337.0,0.0,0.0,33.52,28.72
