序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,836270,天铭科技,19.24,30.0,4.44,95838,176252869.96,24.59,19.24,15.6,15.61,14.8,3.99,11.82,24.01,4.73,2012811840,1560447059,0.0,0.0,22.16,84.47
2,833427,华维设计,19.56,29.97,4.51,150016,273533777.49,33.55,19.56,14.51,14.64,15.05,3.71,29.64,98.84,5.93,2016538200,990130408,0.0,0.0,29.45,77.82
3,830879,基康仪器,21.6,26.91,4.58,133418,265582188.38,35.31,22.12,16.11,16.99,17.02,3.76,11.84,29.32,5.06,3013151962,2434913957,0.19,-0.46,43.14,83.52
4,870204,沪江材料,28.18,25.3,5.69,134651,347837207.36,30.1,28.98,22.21,22.21,22.49,2.83,26.99,79.43,5.57,2657030119,1405648158,0.64,0.68,17.71,61.58
5,873167,新赣江,35.15,20.83,6.06,112289,397555722.69,19.35,37.81,32.18,37.46,29.09,1.96,26.88,80.31,5.25,2490772938,1468632625,0.89,1.27,61.46,149.82
6,300451,创业慧康,8.03,20.03,1.34,3853104,2814061639.49,21.38,8.03,6.6,7.26,6.69,2.08,25.24,176.86,2.67,12439471277,12259350973,0.0,0.0,43.65,79.24
7,688529,豪森智能,23.5,20.02,3.92,229125,504301077.0,17.57,23.5,20.06,20.4,19.58,5.65,13.7,-45.4,1.95,3931251762,3931251762,0.0,0.0,29.26,49.78
8,301021,英诺激光,36.11,20.01,6.02,226617,792957585.27,11.7,36.11,32.59,33.0,30.09,4.49,14.9,4784.26,5.61,5494206265,5493225878,0.0,0.0,9.79,39.47
9,688395,正弦电气,25.32,20.0,4.22,81474,202206628.0,15.31,25.32,22.09,22.25,21.1,8.03,9.41,58.49,2.88,2192654270,2192654270,0.0,0.0,24.12,49.03
10,300210,森远股份,12.37,19.98,2.06,248468,295533782.24,20.08,12.37,10.3,10.38,10.31,3.02,5.14,-117.45,14.37,5989800819,5981604605,0.0,0.0,1.64,20.8
11,688700,东威科技,39.37,18.87,6.25,173781,663177594.0,17.69,39.74,33.88,33.88,33.12,4.22,5.82,175.06,6.79,11748061543,11748061543,-0.08,-0.08,30.02,33.64
12,301225,恒勃股份,44.01,16.92,6.37,125487,524512002.09,23.01,45.17,36.51,37.64,37.64,3.57,41.58,39.45,3.2,4549753800,1328221800,-0.09,0.02,48.18,65.83
13,688680,海优新材,40.96,15.54,5.51,77224,308525495.0,15.8,41.41,35.81,36.64,35.45,3.63,9.19,-6.31,2.12,3441472512,3441472512,-0.32,-0.1,4.25,21.26
14,300778,新城市,11.93,14.71,1.53,264194,309015811.65,17.6,12.42,10.59,10.6,10.4,7.17,12.97,-13.83,1.84,2434436587,2429180468,-0.33,0.68,-7.73,6.9
15,835579,机科股份,36.8,14.25,4.59,187404,708347711.68,20.15,41.5,35.01,35.21,32.21,2.63,42.04,301.59,9.13,4764864000,1640338656,-1.74,0.55,37.52,98.06
16,871634,新威凌,32.0,13.96,3.92,123074,349735721.6,34.08,35.66,26.09,27.1,28.08,2.75,37.54,55.14,7.62,2040385472,1048984832,0.63,-0.53,30.61,111.92
17,300630,*ST普利,3.12,13.04,0.36,652668,193737510.73,15.94,3.17,2.73,2.73,2.76,1.33,19.29,-10.76,0.51,1409540262,1055474959,-0.32,-0.32,-67.4,-54.19
18,300938,信测标准,43.26,12.36,4.76,291784,1279170370.27,14.1,46.2,40.77,40.79,38.5,3.08,25.89,36.56,6.31,6974599340,4876248685,-0.89,-1.3,76.07,68.46
19,836942,恒立钻具,19.85,12.02,2.13,71068,138193311.94,21.05,21.45,17.72,17.9,17.72,2.81,17.23,24.97,2.5,1217342935,818862403,0.25,0.71,6.21,43.94
20,301268,铭利达,23.68,11.8,2.5,186357,415522408.15,17.89,24.49,20.7,21.2,21.18,3.96,10.35,-73.92,4.24,9472267158,4262559414,1.2,0.59,13.14,42.82
21,836149,旭杰科技,16.92,11.68,1.77,98746,159527661.58,14.39,17.36,15.18,15.38,15.15,1.98,20.17,-34.17,8.08,1269263952,828162784,0.12,-0.24,-9.08,47.0
22,839725,惠丰钻石,37.77,11.55,3.91,89495,337068833.83,15.98,39.41,34.0,34.22,33.86,3.14,21.27,656.35,5.5,3447456750,1589277071,-0.47,-0.55,-1.23,-2.75
23,300436,广生堂,40.6,11.51,4.19,112563,435983980.0,12.91,41.2,36.5,36.5,36.41,2.96,8.23,-68.65,14.5,6466240200,5550736103,0.12,-0.27,54.02,24.27
24,300404,博济医药,10.72,11.43,1.1,782230,862582394.57,11.23,11.54,10.46,10.58,9.62,10.15,28.14,71.16,4.16,4106442328,2979623721,-0.09,0.19,16.9,22.79
25,300731,科创新源,25.5,10.68,2.46,234679,576643810.0,15.63,26.3,22.7,23.0,23.04,3.29,19.53,226.56,5.34,3224011002,3064029995,0.2,0.2,5.11,18.0
26,838163,方大新材,16.47,10.54,1.57,35104,55259070.17,10.34,16.49,14.95,14.95,14.9,2.01,5.72,35.67,4.56,2119938685,1010886354,1.35,1.1,-10.1,17.73
27,301261,恒工精密,91.71,10.49,8.71,50352,466315979.06,13.08,98.0,87.14,88.2,83.0,1.08,13.29,62.88,5.16,8060409875,3474909875,-0.91,-0.19,106.55,121.63
28,688519,南亚新材,35.82,10.49,3.4,72319,245314474.0,9.44,35.9,32.84,33.04,32.42,1.8,3.11,164.39,3.52,8542484343,8320758543,1.16,2.81,64.54,68.49
29,300810,中科海讯,24.66,10.19,2.28,136040,336747821.84,11.17,25.52,23.02,23.02,22.38,3.68,11.93,-23.76,3.87,2911113000,2810912022,-0.56,-0.6,11.48,28.24
30,600107,美尔雅,4.79,10.11,0.44,167585,79458657.0,10.11,4.79,4.35,4.41,4.35,2.51,4.66,-26.64,3.37,1724400000,1724400000,0.0,0.0,-11.62,4.81
31,002162,悦心健康,4.79,10.11,0.44,444973,212803356.26,2.99,4.79,4.66,4.78,4.35,0.62,4.83,-30.0,5.31,4414388811,4410138644,0.0,0.0,24.09,38.44
32,600403,大有能源,3.05,10.11,0.28,398920,119618120.0,9.75,3.05,2.78,2.78,2.77,4.77,1.67,-6.96,1.21,7291977826,7291977826,0.0,0.0,-10.29,3.74
33,002672,东江环保,4.47,10.1,0.41,167299,73553327.09,10.1,4.47,4.06,4.06,4.06,2.89,1.85,-10.46,1.22,4940493435,4045878810,0.0,0.0,-8.21,5.67
34,002713,东易日盛,4.91,10.09,0.45,355077,169638844.88,9.64,4.91,4.48,4.49,4.46,2.03,8.63,-2.66,-3.99,2059926572,2019796395,0.0,0.0,-11.05,21.84
35,002277,友阿股份,6.33,10.09,0.58,2553473,1580462416.78,7.65,6.33,5.89,5.99,5.75,3.26,18.32,57.87,1.3,8825113824,8825113824,0.0,0.0,88.96,8.21
36,002306,中科云网,2.84,10.08,0.26,655546,182631102.4,10.08,2.84,2.58,2.6,2.58,1.34,8.06,-48.02,781.92,2470125500,2309327219,0.0,0.0,-32.22,-1.39
37,600172,黄河旋风,4.59,10.07,0.42,1210238,546452314.0,10.07,4.59,4.17,4.18,4.17,3.26,9.48,-11.67,3.2,6619626745,5858013893,0.0,0.0,-9.11,10.34
38,002524,光正眼科,4.59,10.07,0.42,354519,162026776.61,4.56,4.59,4.4,4.43,4.17,2.4,6.97,-85.77,8.72,2379763870,2333094356,0.0,0.0,2.0,26.1
39,600829,人民同泰,8.42,10.07,0.77,266873,216351909.0,10.07,8.42,7.65,7.65,7.65,4.34,4.6,17.78,1.7,4882661987,4882661987,0.0,0.0,15.34,12.27
40,000665,湖北广电,5.8,10.06,0.53,1762290,1016261135.24,6.45,5.8,5.46,5.8,5.27,7.27,15.5,-14.15,1.36,6595467071,6595239914,0.0,0.0,31.82,26.09
41,600712,南宁百货,6.24,10.05,0.57,344146,210128945.0,9.88,6.24,5.68,5.7,5.67,4.13,6.39,452.58,4.08,3398649446,3361165835,0.0,0.0,-9.57,-13.69
42,000678,襄阳轴承,10.4,10.05,0.95,847395,843397981.12,13.54,10.4,9.12,9.2,9.45,1.03,18.44,-184.28,5.87,4779962689,4779962689,0.0,0.0,57.58,59.75
43,688678,福立旺,29.34,10.05,2.68,100440,294905128.0,12.72,30.33,26.94,27.1,26.66,1.25,4.02,135.06,4.32,7323697264,7323697264,0.14,0.1,119.78,97.58
44,002846,英联股份,10.51,10.05,0.96,284024,297905800.03,1.68,10.51,10.35,10.35,9.55,1.43,11.05,1565.25,3.11,4414133114,2701260189,0.0,0.0,9.02,27.86
45,603956,威派格,8.98,10.05,0.82,694519,594600226.0,12.01,8.98,8.0,8.15,8.16,1.32,13.12,-22.83,2.54,4751862556,4751862556,0.0,0.0,51.18,69.43
46,002347,泰尔股份,9.09,10.05,0.83,583344,510334389.0,11.14,9.09,8.17,8.22,8.26,1.85,11.82,-218.08,3.89,4587743689,4484850570,0.0,0.0,-0.11,34.87
47,600589,大位科技,7.78,10.04,0.71,2915181,2116366870.0,15.28,7.78,6.7,7.09,7.07,1.03,19.72,-310.25,18.98,11502495744,11502495744,0.0,0.0,51.95,69.87
48,000905,厦门港务,7.89,10.04,0.72,442026,341684185.85,6.97,7.89,7.39,7.39,7.17,2.69,5.96,23.12,1.18,5852877720,5852865885,0.0,0.0,17.59,10.2
49,002093,国脉科技,10.96,10.04,1.0,90623,99322808.0,0.0,10.96,10.96,10.96,9.96,0.75,0.9,55.91,3.04,11042200000,11035254100,0.0,0.0,28.64,40.51
50,600184,光电股份,14.03,10.04,1.28,202590,275073262.0,10.43,14.03,12.7,12.76,12.75,2.75,3.98,4844.31,2.83,7137914389,7137914389,0.0,0.0,25.27,35.95
51,301379,天山电子,34.1,10.04,3.11,201575,677548425.7,17.97,35.76,30.19,30.19,30.99,3.23,21.58,32.18,3.44,4837971600,3185809550,-0.15,0.15,64.42,68.81
52,603506,南都物业,10.42,10.03,0.95,61855,63572631.0,8.03,10.42,9.66,9.66,9.47,1.87,3.29,24.33,1.73,1956644457,1956644457,0.0,0.0,7.98,22.44
53,002921,联诚精密,15.14,10.03,1.38,86355,126067642.27,11.05,15.14,13.62,13.64,13.76,1.52,7.82,-60.76,1.97,1981608832,1672026157,0.0,0.0,15.22,38.39
54,600641,万业企业,15.8,10.03,1.44,471510,722805131.0,7.87,15.8,14.67,14.78,14.36,3.99,5.07,-348.14,1.77,14703952736,14703952736,0.0,0.0,-4.65,8.07
