序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
100,920108,宏海科技,23.15,4.8,1.06,105539.0,247672010.06,23.04,26.1,21.01,21.4,22.09,1.46,45.32,31.05,6.07,2778000000.0,539111413.0,0.52,0.92,315.62,315.62
101,832469,富恒新材,14.45,4.71,0.65,90430.0,128579020.62,6.01,14.54,13.71,13.83,13.8,0.95,9.23,38.82,4.23,2036669700.0,1415363787.0,0.0,0.07,4.94,24.57
102,835640,富士达,28.63,4.68,1.28,79898.0,225427439.83,8.12,28.9,26.68,27.35,27.35,1.14,4.42,79.59,6.16,5374652640.0,5170577571.0,0.0,-0.07,-4.09,5.03
103,836149,旭杰科技,15.39,4.62,0.68,65720.0,98725014.84,7.27,15.45,14.38,14.39,14.71,1.5,13.43,-31.08,7.35,1154490084.0,753275723.0,0.0,0.65,-21.04,33.71
104,836270,天铭科技,14.54,4.6,0.64,34181.0,48906776.46,6.19,14.62,13.76,13.86,13.9,1.33,4.21,18.15,3.57,1521116640.0,1179256769.0,0.55,0.62,5.13,39.41
105,837046,亿能电力,17.75,4.6,0.78,90668.0,155873488.09,9.31,17.9,16.32,16.65,16.97,1.59,17.63,95.57,7.32,1795412500.0,913037582.0,0.28,1.08,6.67,17.55
106,871478,巨能股份,33.27,4.59,1.46,44403.0,146843150.18,8.33,33.94,31.29,31.61,31.81,0.92,19.31,-1705.36,9.57,2544459557.0,765210000.0,-0.06,-0.09,9.26,26.36
107,839725,惠丰钻石,33.73,4.59,1.48,39664.0,132065230.54,8.5,34.44,31.7,31.7,32.25,1.13,9.43,586.15,4.91,3078705750.0,1419282912.0,0.0,-0.24,51.46,-13.16
108,838701,豪声电子,35.71,4.57,1.56,39596.0,138709980.95,7.67,35.8,33.18,33.5,34.15,1.35,16.16,15.26,4.34,3499580000.0,874930710.0,0.0,0.0,7.14,24.99
109,839719,宁新新材,13.09,4.55,0.57,99460.0,127384022.93,9.27,13.28,12.12,12.18,12.52,1.29,13.59,-3.08,1.92,1218592606.0,958105036.0,0.0,0.08,-14.16,25.62
110,836547,无锡晶海,20.26,4.54,0.88,33595.0,67825817.77,8.46,21.4,19.76,19.76,19.38,2.12,9.44,24.82,2.37,1573958880.0,721337040.0,-0.05,0.8,-10.2,29.54
111,837174,宏裕包材,15.24,4.53,0.66,32496.0,48199695.33,7.2,15.27,14.22,14.59,14.58,1.42,4.0,250.41,2.58,1239520010.0,1239520010.0,-0.07,0.59,-12.91,32.98
112,873833,美心翼申,14.79,4.52,0.64,51158.0,74383554.63,8.76,15.08,13.84,13.9,14.15,1.28,16.12,35.16,2.0,1218104400.0,469247270.0,0.0,0.61,-14.56,29.74
113,430510,丰光精密,22.44,4.52,0.97,71594.0,158655277.25,5.12,22.56,21.46,21.68,21.47,0.77,7.54,145.15,10.32,4133760567.0,2129714830.0,0.36,-0.13,5.95,35.92
114,430489,佳先股份,24.99,4.52,1.08,203533.0,496047918.02,14.81,26.1,22.56,23.02,23.91,1.6,23.75,204.72,6.85,3410115408.0,2141486788.0,0.0,-0.04,-2.91,52.38
115,833230,欧康医药,18.76,4.51,0.81,34415.0,63648341.38,6.63,18.9,17.71,17.93,17.95,1.86,10.15,46.07,3.5,1449534623.0,636373174.0,0.0,0.32,-1.26,34.19
116,873679,前进科技,19.6,4.48,0.84,18048.0,34912265.21,6.13,19.65,18.5,18.57,18.76,1.56,6.91,35.51,2.17,1094660000.0,512157800.0,0.0,0.41,-10.5,19.59
117,834062,科润智控,9.12,4.47,0.39,115081.0,103026870.23,6.41,9.14,8.58,8.73,8.73,1.89,8.88,29.48,2.37,1701666846.0,1182419446.0,-0.11,-0.11,-3.18,19.06
118,830879,基康仪器,15.02,4.45,0.64,24452.0,36072298.59,6.54,15.09,14.15,14.15,14.38,1.77,2.17,20.39,3.52,2095256596.0,1693167020.0,0.13,0.0,-5.71,27.61
119,834682,球冠电缆,9.89,4.44,0.42,83953.0,81374941.33,5.7,9.89,9.35,9.39,9.47,1.02,5.35,14.98,2.39,2674256000.0,1552107108.0,0.1,0.2,4.21,25.99
120,832662,方盛股份,27.82,4.43,1.18,45298.0,123398161.49,9.38,28.3,25.8,26.0,26.64,0.67,18.43,61.1,5.37,2435641056.0,683834712.0,0.32,0.32,25.48,39.1
121,831010,凯添燃气,10.92,4.4,0.46,109145.0,116100363.67,7.17,10.92,10.17,10.27,10.46,0.65,6.28,49.99,3.85,2560740000.0,1896455685.0,0.46,0.37,2.73,23.95
122,838402,硅烷科技,10.95,4.29,0.45,154199.0,165200686.61,8.95,11.15,10.21,10.54,10.5,1.45,3.65,44.62,2.78,4621557734.0,4621557734.0,0.18,-0.18,-0.18,24.57
123,870508,丰安股份,17.34,4.27,0.71,16449.0,28097601.2,5.95,17.48,16.49,16.49,16.63,1.07,4.02,24.56,2.32,1079241600.0,709198162.0,0.0,0.12,-2.31,38.83
124,871857,泓禧科技,18.43,4.24,0.75,22171.0,40158312.0,6.5,18.51,17.36,17.68,17.68,0.8,3.0,61.97,3.52,1363951811.0,1363951811.0,0.16,0.38,-11.48,30.16
125,839371,欧福蛋业,8.85,4.24,0.36,62644.0,54018277.37,6.83,8.88,8.3,8.47,8.49,0.81,10.71,29.92,3.3,1818192994.0,517416710.0,0.11,0.23,-14.74,28.63
126,834950,迅安科技,21.68,4.23,0.88,15286.0,32465652.38,5.38,21.72,20.6,20.86,20.8,1.28,4.95,16.76,4.37,1324648000.0,669370000.0,0.14,0.23,-3.3,38.62
127,873806,云星宇,16.83,4.21,0.68,129052.0,215253794.28,6.87,16.99,15.88,15.99,16.15,1.45,4.29,32.85,3.38,5061398106.0,5061398106.0,0.0,-0.12,-3.83,31.9
128,830832,齐鲁华信,7.43,4.21,0.3,46918.0,34405029.16,4.91,7.46,7.11,7.13,7.13,1.54,3.77,63.14,1.37,1031015517.0,924188151.0,0.27,0.0,-11.55,26.15
129,872392,佳合科技,22.82,4.2,0.92,27208.0,61678049.33,5.02,23.0,21.9,21.9,21.9,2.27,9.69,28.15,4.18,1339534000.0,640625860.0,0.04,0.09,-5.39,27.49
130,833075,柏星龙,34.0,4.2,1.37,30561.0,102574508.27,6.37,34.08,32.0,32.12,32.63,0.8,8.76,38.99,5.41,2203710000.0,1185881376.0,-0.23,-0.09,-24.94,27.2
131,836260,中寰股份,12.48,4.17,0.5,34212.0,42081689.79,5.26,12.48,11.85,11.87,11.98,1.52,8.04,21.56,3.02,1292304000.0,531227312.0,0.0,0.24,-11.17,21.64
132,839729,永顺生物,8.02,4.16,0.32,41104.0,32270977.59,4.94,8.04,7.66,7.7,7.7,2.05,5.35,39.83,3.31,2192267000.0,616136829.0,0.5,0.25,-11.09,20.97
133,834639,晨光电缆,7.31,4.13,0.29,70970.0,50939501.07,6.41,7.33,6.88,6.95,7.02,1.63,6.05,45.04,1.77,1473696000.0,856848105.0,-0.27,0.14,-10.53,23.27
134,832175,东方碳素,13.45,4.1,0.53,106410.0,140414630.5,7.2,13.63,12.7,13.01,12.92,1.45,17.59,-19.66,2.05,1600550000.0,813634872.0,0.15,-0.22,-19.32,30.96
135,835438,戈碧迦,20.15,4.08,0.79,58210.0,115822902.83,5.42,20.18,19.13,19.3,19.36,0.77,7.33,30.14,3.02,2846187500.0,1600420601.0,-0.05,0.05,-5.09,26.81
