序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
232,605100,华丰股份,26.11,3.2,0.81,263469.0,660915838.0,10.28,26.66,24.06,25.0,25.3,9.98,15.5,63.87,2.46,4468256520.0,4436924520.0,-0.04,2.31,79.45,74.3
276,601789,宁波建工,6.48,2.86,0.18,1349560.0,883710531.0,7.14,6.77,6.32,6.32,6.3,7.43,12.42,24.06,1.6,7042454863.0,7042454863.0,-0.15,0.15,27.56,45.95
336,002276,万马股份,15.43,2.39,0.36,1348359.0,2058582984.37,11.48,16.23,14.5,14.99,15.07,8.71,13.42,46.06,2.77,15650492169.0,15508435874.0,-1.66,-3.98,84.79,82.39
