序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,301557,N常友,89.99,211.6,61.11,92696.0,885206811.04,172.33,130.0,80.23,80.23,28.88,,83.66,37.89,4.0,3987265311.0,997089200.0,-0.01,-0.01,211.6,211.6
2,603409,N汇通,50.81,110.13,26.63,232895.0,1266359196.0,132.71,77.77,45.68,48.5,24.18,,75.43,38.13,4.44,6403584300.0,1568804327.0,0.0,-0.39,110.13,110.13
3,832149,利尔达,17.29,30.0,3.99,433147.0,679069826.63,32.18,17.29,13.01,13.01,13.3,2.76,37.53,-49.74,10.49,7289982700.0,1995451453.0,0.0,0.0,37.44,94.93
4,837006,晟楠科技,31.39,29.98,7.24,162694.0,484061773.24,29.61,31.39,24.24,24.24,24.15,4.16,47.44,-195.48,8.85,2834115208.0,1076421988.0,0.0,0.0,7.02,27.6
5,831167,鑫汇科,33.87,29.97,7.81,45497.0,148118607.73,15.23,33.87,29.9,29.9,26.06,2.54,15.82,59.27,6.26,1692922212.0,974055577.0,0.0,0.0,5.91,69.52
6,831856,浩淼科技,23.95,29.95,5.52,208190.0,476901222.05,22.52,23.95,19.8,21.18,18.43,3.37,43.45,77.76,4.48,2071166134.0,1147658302.0,0.0,0.0,87.11,185.46
7,832145,恒合股份,15.84,29.94,3.65,113737.0,168268756.78,31.26,15.84,12.03,12.05,12.19,2.93,25.37,-86.48,4.19,1117512000.0,710063640.0,0.0,0.0,13.63,74.64
8,830779,武汉蓝电,81.98,24.63,16.2,97130.0,681778838.62,34.19,85.0,62.51,69.07,65.78,2.16,67.86,47.78,9.16,4689256000.0,1173396218.0,-0.02,7.87,86.19,147.67
9,300211,亿通科技,10.67,20.02,1.78,280259.0,283919551.82,20.81,10.67,8.82,8.92,8.89,0.97,9.39,-81.9,6.63,3242930144.0,3184801062.0,0.0,0.0,1.43,19.89
10,301112,信邦智能,31.06,20.02,5.18,85065.0,257750931.78,21.06,31.06,25.61,25.62,25.88,2.05,23.46,298.17,2.79,3424880596.0,1126139594.0,0.0,0.0,15.77,32.91
11,301357,北方长龙,35.74,20.01,5.96,72745.0,244993839.89,20.95,35.74,29.5,29.6,29.78,4.19,30.57,-245.33,3.02,3402448000.0,850612000.0,0.0,0.0,-5.57,7.52
