序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高_x,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅,最高_y
151,002628,成都路桥,4.82,6.17,0.28,1255018,611022375.98,9.03,4.99,4.58,4.6,4.54,5.88,16.62,-132.17,1.23,3649224000,3639240754,0.0,0.0,-9.23,6.4,4.64
181,603112,华翔股份,13.16,5.45,0.68,116990,153335536.0,7.13,13.4,12.51,12.6,12.48,5.58,2.68,13.61,2.09,6192809849,5741625316,0.0,0.0,1.39,5.28,12.57
116,000078,海王生物,2.49,7.79,0.18,668845,163962441.76,9.52,2.54,2.32,2.32,2.31,5.44,2.55,106.32,2.16,6551496910,6539838434,0.0,0.4,-15.59,-2.35,2.34
179,603151,邦基科技,11.98,5.46,0.62,68506,82092032.0,9.6,12.45,11.36,11.36,11.36,5.28,8.48,35.35,1.63,2012640000,968367360,0.0,0.08,3.19,19.68,11.46
