序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,873167,新赣江,37.46,28.77,8.37,6441,24129109.8,0.0,37.46,37.46,37.46,29.09,22.08,1.54,85.58,5.59,2654462425,1565148738,0.0,7.03,72.07,166.24
2,871245,威博液压,70.02,21.37,12.33,771,5395601.16,0.0,70.02,70.02,70.02,57.69,17.87,0.32,117.23,10.24,3486996000,1705338921,0.0,-5.37,165.03,83.3
3,430300,辰光医疗,18.8,14.15,2.33,3501,6582387.6,0.0,18.8,18.8,18.8,16.47,7.82,0.53,-20.87,6.99,1613925969,1250795133,0.0,4.1,12.91,62.07
4,301005,超捷股份,40.0,13.35,4.71,15881,63525200.0,0.0,40.0,40.0,40.0,35.29,42.99,1.2,158.71,7.04,5394477960,5294871440,0.0,-4.76,28.95,36.75
5,688097,博众精工,36.0,12.46,3.99,4740,17065548.0,0.0,36.0,36.0,36.0,32.01,12.62,0.11,40.34,3.58,16079319540,15970446540,0.0,2.86,23.41,37.14
6,300253,卫宁健康,14.08,12.01,1.51,140856,198325248.0,0.0,14.08,14.08,14.08,12.57,16.2,0.74,149.63,5.32,30849043203,26628622184,0.0,-6.13,76.0,96.65
7,688393,安必平,45.0,11.86,4.77,5896,26530920.0,0.0,45.0,45.0,45.0,40.23,12.36,0.63,191.07,3.35,4210546455,4210546455,0.0,-4.23,121.13,159.97
8,872925,锦好医疗,15.78,11.28,1.6,5744,9064489.62,0.0,15.78,15.78,15.78,14.18,38.25,1.04,195.97,4.33,1541495227,872555936,0.0,0.0,-9.83,35.57
9,300244,迪安诊断,19.8,10.31,1.85,25292,50078160.0,0.0,19.8,19.8,19.8,17.95,10.06,0.5,70.92,1.75,12374592833,9928889408,0.0,-1.0,56.03,74.45
10,835670,数字人,22.5,10.19,2.08,3551,7989345.0,0.0,22.5,22.5,22.5,20.42,12.43,0.53,-430.81,9.9,2389104000,1499589473,0.0,2.27,2.09,46.01
11,000665,湖北广电,5.8,10.06,0.53,26674,15470925.8,0.0,5.8,5.8,5.8,5.27,21.57,0.23,-14.15,1.36,6595467071,6595239914,0.0,0.0,31.82,26.09
12,002093,国脉科技,10.96,10.04,1.0,23803,26088088.0,0.0,10.96,10.96,10.96,9.96,38.76,0.24,55.91,3.04,11042200000,11035254100,0.0,0.0,28.64,40.51
13,605303,园林股份,10.87,10.02,0.99,25799,28044035.0,0.0,10.87,10.87,10.87,9.88,97.76,1.6,-20.07,1.52,1752650625,1752650625,0.0,0.0,20.11,43.4
14,603716,塞力医疗,10.98,10.02,1.0,21017,23076644.0,0.0,10.98,10.98,10.98,9.98,15.87,1.1,-28.07,2.15,2097051029,2097051029,0.0,0.0,20.0,52.08
15,603108,润达医疗,22.84,10.02,2.08,18222,41619048.0,0.0,22.84,22.84,22.84,20.76,7.76,0.3,205.06,3.21,13787143972,13787143972,0.0,0.0,18.77,43.38
16,002760,凤形股份,24.17,10.01,2.2,29110,70358870.0,0.0,24.17,24.17,24.17,21.97,102.01,2.7,137.05,2.95,2610087024,2610087024,0.0,0.0,21.4,42.18
17,002196,方正电机,8.81,9.99,0.8,28490,25099275.93,0.0,8.81,8.81,8.81,8.01,11.37,0.58,364932.94,3.01,4368631703,4302895686,0.0,0.0,37.66,64.37
18,600539,狮头股份,11.9,9.98,1.08,280,333200.0,0.0,11.9,11.9,11.9,10.82,0.38,0.01,-288.76,7.94,2737000000,2737000000,0.0,0.0,55.35,71.47
19,603990,麦迪科技,17.52,9.98,1.59,48007,84108544.0,0.0,17.52,17.52,17.52,15.93,27.95,1.57,-24.07,5.85,5366073447,5366073447,0.0,0.0,22.52,70.43
20,300404,博济医药,10.58,9.98,0.96,11983,12678014.0,0.0,10.58,10.58,10.58,9.62,30.48,0.43,70.23,4.1,4052813417,2940710725,0.0,2.72,15.38,21.19
21,600860,京城股份,16.22,9.89,1.46,80043,129829746.0,0.0,16.22,16.22,16.22,14.76,71.79,1.84,-414.67,8.4,8883142325,7059453892,0.0,-0.12,45.34,60.91
22,002162,悦心健康,4.78,9.89,0.43,105834,50588652.0,0.0,4.78,4.78,4.78,4.35,28.95,1.15,-29.94,5.3,4405172968,4400931674,0.0,-0.21,23.83,38.15
23,430489,佳先股份,26.0,9.84,2.33,7400,19240182.0,0.0,26.0,26.0,26.0,23.67,9.99,0.86,212.99,7.12,3547939200,2228037474,0.0,0.0,1.01,58.54
24,600168,武汉控股,5.47,9.84,0.49,118879,65026813.0,0.0,5.47,5.47,5.47,4.98,334.96,1.2,56.07,1.03,5433884702,5433884702,0.0,-0.18,9.18,23.48
25,002114,罗平锌电,7.82,9.83,0.7,41778,32670396.0,0.0,7.82,7.82,7.82,7.12,39.96,1.29,-26.94,2.63,2528950988,2528916236,0.0,-0.13,0.51,38.65
26,301257,普蕊斯,33.41,9.68,2.95,1760,5879491.8,0.0,33.41,33.41,33.41,30.46,15.58,0.37,27.57,2.33,2656179861,1587390554,0.0,6.1,10.15,23.92
27,301021,英诺激光,33.0,9.67,2.91,5022,16572600.0,0.0,33.0,33.0,33.0,30.09,19.5,0.33,4372.21,5.12,5021013756,5020117806,0.0,-2.71,0.33,27.46
28,870199,倍益康,32.02,9.54,2.79,2208,7069663.78,0.0,32.02,32.02,32.02,29.23,10.62,0.59,60.56,4.18,2180875796,1191191870,0.0,-0.4,9.06,63.28
29,835579,机科股份,35.21,9.31,3.0,6819,24009522.95,0.0,35.21,35.21,35.21,32.21,18.74,1.53,288.56,8.74,4558990800,1569465328,0.0,-2.19,31.58,89.5
30,300168,万达信息,9.82,8.87,0.8,35941,35294062.0,0.0,9.82,9.82,9.82,9.02,16.02,0.25,-19.0,8.0,14158251377,14132772592,0.0,-0.51,2.51,23.68
31,600491,龙元建设,4.31,8.84,0.35,34855,15022505.0,0.0,4.31,4.31,4.31,3.96,22.57,0.23,-15.63,0.63,6593256786,6593256786,0.0,-1.15,0.23,15.24
32,688160,步科股份,106.08,8.69,8.48,1043,11064144.0,0.0,106.08,106.08,106.08,97.6,8.92,0.12,180.67,11.51,8910720000,8910720000,0.0,3.49,78.32,84.94
33,300451,创业慧康,7.26,8.52,0.57,101793,73901718.0,0.0,7.26,7.26,7.26,6.69,10.79,0.67,159.9,2.42,11246645264,11083796770,0.0,-0.55,29.87,62.05
34,600506,统一股份,21.99,8.43,1.71,9429,20734371.0,0.0,21.99,21.99,21.99,20.28,13.39,0.64,134.53,9.52,4222496359,3248074137,0.0,-1.39,13.18,6.75
