序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高_x,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅,最高_y
184,300649,杭州园林,12.35,4.13,0.49,8313,10157526.0,5.48,12.5,11.85,11.85,11.86,15.66,0.78,-73.94,3.17,1635345121,1310542653,1.48,4.22,-8.04,15.31,12.15
171,000753,漳州发展,4.49,4.42,0.19,135890,60177857.94,3.95,4.51,4.34,4.36,4.3,15.63,1.37,67.76,1.64,4451750009,4451750009,1.81,2.98,-29.07,4.42,4.41
189,002713,东易日盛,4.64,4.04,0.18,69680,32486893.03,9.42,4.9,4.48,4.49,4.46,15.58,1.69,-2.51,-3.77,1946651587,1908728162,1.09,3.34,-15.94,15.14,4.48
107,603880,南卫股份,5.95,5.31,0.3,30010,17618821.0,6.37,5.99,5.63,5.63,5.65,15.4,1.04,-96.89,3.77,1719799900,1719799900,3.3,5.68,23.19,36.78,5.76
194,002822,ST中装,3.64,4.0,0.14,52458,18949768.6,5.14,3.68,3.5,3.52,3.5,15.28,0.96,-2.52,1.41,2674191101,1986575143,0.83,3.41,-11.44,-10.34,3.5
117,002480,新筑股份,5.36,5.1,0.26,48437,26036535.0,5.88,5.5,5.2,5.2,5.1,14.79,0.63,-12.15,3.54,4122744071,4114968191,0.56,3.08,6.14,3.88,5.29
115,688321,微芯生物,19.75,5.11,0.96,17126,33585260.0,3.73,19.89,19.19,19.2,18.79,14.68,0.42,-70.3,5.09,8053980421,8053980421,0.92,2.86,-3.89,6.3,19.16
126,688071,华依科技,47.75,4.97,2.26,9621,46093749.0,4.11,48.95,47.08,47.08,45.49,14.45,1.13,-87.12,4.13,4048709321,4048709321,-0.67,1.42,43.48,77.18,45.65
120,688676,金盘科技,42.92,5.07,2.07,43262,183334559.0,5.19,43.18,41.06,41.68,40.85,14.13,0.95,34.13,4.41,19633367377,19633367377,1.23,2.98,30.46,3.62,41.76
111,605228,神通科技,13.2,5.26,0.66,70887,93520933.0,4.23,13.49,12.96,13.04,12.54,14.04,1.68,254.72,3.71,5623356288,5583716688,-0.53,1.23,24.06,22.34,13.08
92,600345,长江通信,25.65,5.64,1.37,24028,61167757.0,6.96,26.09,24.4,24.4,24.28,13.92,1.14,127.36,2.45,8454551186,5426495968,1.46,5.12,-9.91,10.94,25.05
96,688266,泽璟制药-U,91.41,5.54,4.8,8171,74011693.0,5.6,91.85,87.0,87.0,86.61,13.31,0.31,-177.64,19.18,24196975282,24196975282,0.59,5.07,37.31,46.7,87.89
151,603678,火炬电子,36.0,4.65,1.6,35173,125015743.0,4.71,36.12,34.5,34.86,34.4,12.88,0.77,54.77,3.03,16500322044,16500322044,-0.25,3.27,14.14,18.03,35.19
169,300341,麦克奥迪,19.8,4.43,0.84,54028,107223058.06,1.05,19.95,19.75,19.78,18.96,12.7,1.05,62.84,5.76,10244724653,10203487688,0.05,0.1,-5.13,13.08,19.55
163,002075,沙钢股份,6.48,4.52,0.28,166028,107374312.0,7.1,6.64,6.2,6.2,6.2,11.68,0.76,101.17,2.22,14215988884,14215966042,1.41,4.52,-11.6,3.51,6.36
98,688800,瑞可达,54.2,5.45,2.8,17906,95351740.0,5.89,54.9,51.87,51.87,51.4,11.52,1.13,49.65,4.11,8586357117,8586357117,1.73,4.49,24.51,8.16,52.1
108,688439,振华风光,66.2,5.3,3.33,12462,81644278.0,5.68,66.44,62.87,62.87,62.87,11.45,1.09,41.05,2.69,13240000000,7541347900,-0.3,5.3,17.86,29.07,64.98
133,603291,联合水务,14.9,4.86,0.69,7596,11181470.0,4.64,14.96,14.3,14.3,14.21,11.2,0.58,36.43,3.59,6305987000,1936151847,1.36,4.2,30.36,28.12,14.5
148,300440,运达科技,8.97,4.67,0.4,30458,26943891.0,4.9,8.98,8.56,8.56,8.57,11.19,0.69,75.53,2.49,3981949842,3966745378,1.7,4.79,-0.22,13.26,8.72
93,603267,鸿远电子,45.85,5.62,2.44,16427,74716975.0,6.47,46.23,43.42,43.66,43.41,11.03,0.71,62.37,2.52,10595058898,10595058898,0.75,5.02,11.1,26.55,44.16
104,688501,青达环保,18.95,5.34,0.96,11662,21820977.0,6.5,19.15,17.98,17.99,17.99,10.83,0.95,24.77,2.43,2332195450,2332195450,-0.94,5.34,30.06,35.07,17.99
83,873679,前进科技,21.31,5.97,1.2,4803,10115695.06,4.82,21.5,20.53,21.0,20.11,10.55,1.84,38.61,2.36,1190163500,556840955,1.72,1.48,-1.02,30.02,20.57
158,830946,森萱医药,10.75,4.57,0.47,16222,17287494.44,3.79,10.79,10.4,10.4,10.28,10.01,0.38,28.04,3.86,4589372155,4587961218,1.51,3.37,-8.98,22.02,10.45
