序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高_x,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅,最高_y
106,600961,株冶集团,9.5,5.32,0.48,409810,383729766.0,4.88,9.59,9.15,9.3,9.02,76.01,5.45,13.14,3.8,10192290679,7142217781,0.96,2.15,12.29,20.71,9.02
180,000903,云内动力,4.23,4.19,0.17,1033816,426071777.0,4.19,4.23,4.06,4.06,4.06,50.5,5.38,-19.06,3.12,8247523602,8122706771,2.42,4.19,-5.37,22.97,4.06
143,002589,瑞康医药,3.08,4.76,0.14,145014,44236670.4,3.06,3.09,3.0,3.0,2.94,41.46,1.06,89.57,0.84,4634508251,4206021968,0.65,2.67,-5.81,3.7,2.97
84,002840,华统股份,11.4,5.95,0.64,90971,101783172.4,4.83,11.48,10.96,10.98,10.76,40.75,1.83,101.31,3.0,7216426666,5674506875,2.61,3.83,-15.56,-9.6,10.99
89,000657,中钨高新,11.05,5.84,0.61,262051,286522198.05,4.12,11.16,10.73,10.9,10.44,38.64,2.1,84.0,2.17,23088761691,13782765964,0.45,1.38,7.8,19.98,10.75
95,300199,翰宇药业,12.75,5.55,0.67,144757,182639299.0,2.48,12.77,12.47,12.49,12.08,38.27,2.05,-242.66,15.93,11261327034,9005109857,0.95,2.08,0.08,-1.09,12.35
135,000711,*ST京蓝,1.73,4.85,0.08,179184,30836474.68,1.82,1.73,1.7,1.7,1.65,37.39,0.78,-56.65,7.33,4942568866,3953446770,0.0,1.76,-7.98,7.45,1.65
134,301235,华康医疗,20.95,4.85,0.97,10517,21984461.0,2.0,21.12,20.72,20.77,19.98,36.97,2.06,84.5,1.24,2212320000,1067444400,0.1,0.87,-3.99,3.66,20.3
136,300267,尔康制药,2.82,4.83,0.13,180798,50815396.99,5.2,2.87,2.73,2.74,2.69,36.5,1.27,-171.29,1.23,5816545733,4011159092,-0.35,2.92,-14.8,1.44,2.75
188,301373,凌玮科技,30.36,4.04,1.18,10189,31233364.38,3.56,31.22,30.18,30.33,29.18,32.66,2.65,25.88,2.11,3293212683,1168034876,-1.04,0.1,4.33,19.62,29.27
127,603388,ST元成,3.6,4.96,0.17,50069,17863252.0,3.5,3.6,3.48,3.52,3.43,31.91,1.54,-10.6,1.08,1172640859,1172640859,0.28,2.27,7.46,35.85,3.43
125,688022,瀚川智能,15.13,5.0,0.72,31567,48010537.0,5.14,15.46,14.72,15.0,14.41,28.69,1.79,-2.39,4.15,2661039042,2661039042,-1.43,0.87,12.99,38.05,15.1
88,000905,厦门港务,7.59,5.86,0.42,113415,85056583.0,3.63,7.65,7.39,7.39,7.17,27.09,1.53,22.24,1.14,5630334841,5630323456,1.47,2.71,13.11,6.01,7.34
113,600151,航天机电,8.1,5.19,0.4,197688,160475374.0,5.71,8.27,7.83,8.0,7.7,24.99,1.38,-163.25,2.39,11617443525,11617443525,-0.25,1.25,-5.59,1.5,7.91
154,000048,京基智农,16.07,4.62,0.71,42109,67270903.96,3.13,16.2,15.72,15.84,15.36,24.85,0.8,10.62,2.06,8521635758,8465029183,-0.43,1.45,-14.38,-10.72,15.44
114,000929,兰州黄河,6.75,5.14,0.33,31807,21153975.0,3.89,6.77,6.52,6.56,6.42,24.84,1.71,-24.31,2.29,1253920500,1253841005,1.2,2.9,-22.24,-3.16,6.49
162,688571,杭华股份,8.1,4.52,0.35,27976,22729668.0,2.84,8.21,7.99,7.99,7.75,24.76,0.67,24.47,2.2,3403040850,3403040850,-0.49,1.38,16.88,20.72,7.98
132,000609,*ST中迪,2.8,4.87,0.13,27053,7404257.0,4.87,2.8,2.67,2.67,2.67,23.84,0.93,-5.9,2.95,837943462,815036662,1.82,4.87,14.75,11.55,2.69
166,600641,万业企业,15.0,4.46,0.64,69180,103574492.0,3.34,15.15,14.67,14.78,14.36,22.94,0.74,-330.51,1.68,13959448800,13959448800,-0.46,1.49,-9.47,2.6,14.59
200,002755,奥赛康,17.29,3.97,0.66,51827,87896982.0,3.85,17.3,16.66,16.94,16.63,22.65,0.56,94.76,5.37,16047892469,16047740749,2.19,2.07,21.85,36.03,16.63
159,300149,睿智医药,6.88,4.56,0.3,44358,30610654.0,3.8,7.0,6.75,6.75,6.58,22.43,0.89,-41.67,2.51,3425992265,3419940748,-0.58,1.93,0.29,7.17,6.76
199,300230,永利股份,5.23,3.98,0.2,121919,62869198.68,3.38,5.24,5.07,5.1,5.03,22.37,1.94,19.79,1.37,4253106296,3293971670,1.95,2.55,2.75,17.53,5.15
164,603378,亚士创能,6.97,4.5,0.3,18923,12986054.0,4.2,6.98,6.7,6.7,6.67,22.21,0.44,-120.46,1.81,2987318595,2987318595,1.01,4.03,-3.33,8.57,6.73
152,300937,药易购,29.95,4.65,1.33,12269,36672962.0,2.27,30.23,29.58,29.58,28.62,21.71,1.96,154.25,3.38,2865217126,1876303766,0.81,1.25,-0.86,19.7,29.38
105,000735,罗 牛 山,6.53,5.32,0.33,159215,102296960.51,3.71,6.55,6.32,6.32,6.2,21.28,1.38,16.47,1.74,7519383664,7515360786,1.71,3.32,-8.42,-1.95,6.33
90,688358,祥生医疗,37.24,5.77,2.03,12981,48681333.0,3.52,38.35,37.11,37.2,35.21,20.8,1.16,29.13,2.93,4175517758,4175517758,-0.83,0.11,39.48,52.5,36.9
150,300658,延江股份,6.29,4.66,0.28,40567,25639727.24,7.32,6.48,6.04,6.05,6.01,20.55,1.8,47.26,1.53,2093086220,1417785090,-1.1,3.97,3.45,21.43,6.1
183,002363,隆基机械,8.04,4.15,0.32,67735,54071963.5,6.74,8.2,7.68,7.69,7.72,20.3,1.63,68.56,1.59,3359339540,3342695663,1.52,4.55,10.9,22.37,7.9
153,603773,沃格光电,25.34,4.62,1.12,20505,51468129.0,4.38,25.47,24.41,24.67,24.22,19.34,1.01,-85.83,4.28,5655848292,5164375166,0.64,2.72,-0.59,0.16,24.88
178,688376,美埃科技,40.48,4.22,1.64,8592,35349879.0,6.49,42.38,39.86,40.0,38.84,19.21,1.69,28.7,3.04,5440512000,2063896643,-2.62,1.2,10.9,21.23,39.67
172,300642,透景生命,15.85,4.41,0.67,20394,32003678.2,2.11,15.87,15.55,15.55,15.18,18.97,1.48,79.45,1.71,2583897765,2182655411,0.76,1.93,-0.44,12.25,15.35
149,002773,康弘药业,20.44,4.66,0.91,18496,37144042.19,4.35,20.47,19.62,19.73,19.53,18.42,0.27,14.48,2.23,18800267512,14008366545,2.15,3.6,1.89,4.29,19.66
100,000620,新华联,1.95,5.41,0.1,313425,60377479.79,3.78,1.96,1.89,1.89,1.85,17.08,0.67,102.84,2.08,11450039328,9109867143,1.56,3.17,-15.95,-10.96,1.89
168,300412,迦南科技,5.88,4.44,0.25,85068,49436416.4,2.84,5.89,5.73,5.73,5.63,16.99,1.8,80.91,2.78,2926809026,2780714598,1.73,2.62,8.09,27.27,5.78
97,430478,峆一药业,21.6,5.47,1.12,11930,25354738.42,4.2,21.7,20.84,20.93,20.48,16.95,3.54,18.35,2.51,1214362800,728322235,0.98,3.2,-4.59,28.8,21.14
131,300233,金城医药,13.99,4.87,0.65,47239,65287308.01,2.47,14.0,13.67,13.74,13.34,16.84,1.28,26.66,1.47,5370405472,5174664639,1.52,1.82,7.29,18.06,13.55
155,300778,新城市,10.88,4.62,0.48,15757,17008062.4,4.42,11.05,10.59,10.6,10.4,16.76,0.77,-12.62,1.68,2220173518,2215380008,2.35,2.64,-15.85,-2.51,10.64
