序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,430425,乐创技术,34.69,29.97,8.0,143638.0,450203971.78,33.87,34.69,25.65,25.66,26.69,3.02,33.96,78.33,7.18,1757706326.0,1467220939.0,0.0,0.0,25.23,89.36
2,920116,星图测控,88.88,23.98,17.19,98689.0,800304698.04,30.92,92.5,70.33,72.22,71.69,1.85,37.78,119.37,21.33,10143430000.0,2321990000.0,-1.3,-1.68,1184.39,1184.39
3,300523,辰安科技,25.85,20.01,4.31,203115.0,484489556.42,21.08,25.85,21.31,21.58,21.54,2.72,8.74,-30.15,4.4,6013682942.0,6004122656.0,0.0,0.0,7.8,30.62
4,300984,金沃股份,72.77,20.0,12.13,71302.0,482077079.48,22.05,72.77,59.4,60.39,60.64,1.46,12.4,225.49,6.62,6421879876.0,4183212412.0,0.0,0.0,175.02,81.02
5,301139,元道通信,37.02,20.0,6.17,387478.0,1416246482.13,6.87,37.02,34.9,37.02,30.85,2.25,54.02,72.29,2.32,4500921216.0,2655149106.0,0.0,0.0,48.85,62.73
6,300964,本川智能,44.4,20.0,7.4,142874.0,622730763.81,19.65,44.4,37.13,37.13,37.0,8.36,26.43,121.58,3.45,3432043810.0,2400304937.0,0.0,0.0,11.47,23.68
7,300328,宜安科技,13.14,20.0,2.19,1429262.0,1773301665.61,21.0,13.14,10.84,10.84,10.95,1.2,20.82,2774.22,8.31,9072166104.0,9018875192.0,0.0,0.0,58.12,78.53
8,301396,宏景科技,80.35,20.0,13.39,253801.0,1902059449.17,13.96,80.35,71.0,73.52,66.96,1.35,49.82,-214.44,7.11,8810810667.0,4093326215.0,0.0,0.76,183.62,186.15
9,300611,美力科技,20.77,19.99,3.46,537953.0,1053277936.88,19.87,20.77,17.33,17.5,17.31,1.57,36.27,42.39,4.14,4384021104.0,3080252895.0,0.0,0.0,84.79,96.5
10,300211,亿通科技,12.8,19.96,2.13,604413.0,768119794.94,5.34,12.8,12.23,12.8,10.67,2.35,20.25,-98.25,7.96,3890300454.0,3820567347.0,0.0,0.0,26.98,43.82
11,300630,*ST普利,2.72,19.82,0.45,782171.0,203650468.73,18.5,2.72,2.3,2.31,2.27,2.16,23.12,-9.38,0.45,1228829972.0,920157656.0,0.0,0.0,-76.73,-60.06
12,834475,三友科技,28.7,19.14,4.61,115015.0,302461499.73,22.75,28.99,23.51,24.72,24.09,2.25,27.35,130.4,8.04,2953092240.0,1206830982.0,0.0,3.91,17.19,78.04
13,301226,祥明智能,35.23,18.1,5.4,217492.0,726050029.69,22.23,35.8,29.17,29.8,29.83,1.49,44.31,141.34,4.27,3833024000.0,1729083609.0,0.09,0.09,35.71,51.72
14,871263,莱赛激光,24.0,17.82,3.63,173043.0,416847181.79,31.22,26.48,20.12,21.1,20.37,5.62,40.02,-164.1,5.5,1909000008.0,1037787408.0,-1.32,-2.83,10.34,65.29
15,839493,并行科技,226.5,17.34,33.47,111579.0,2344068326.36,28.49,240.0,185.0,197.0,193.03,1.71,34.4,858.01,37.79,13189095000.0,7346656152.0,0.0,0.06,233.43,219.87
16,300183,东软载波,24.41,16.46,3.45,1071919.0,2593769950.86,10.97,25.15,22.85,23.46,20.96,3.28,29.86,100.8,3.56,11292289034.0,8763832276.0,0.0,0.16,43.76,26.15
17,833455,汇隆活塞,11.82,16.34,1.66,156422.0,190373740.17,29.13,13.2,10.24,10.3,10.16,1.87,16.83,45.18,6.03,2097459000.0,1098414362.0,0.08,-0.25,1.29,69.1
18,430510,丰光精密,26.05,16.09,3.61,167324.0,429309219.62,30.17,28.8,22.03,22.18,22.44,1.87,17.63,168.51,11.99,4798772850.0,2472329382.0,0.19,-1.85,9.09,57.78
19,300857,协创数据,125.0,14.68,16.0,291190.0,3450541725.85,10.4,125.0,113.66,115.18,109.0,2.28,11.91,41.28,10.08,30656893250.0,30569987000.0,0.14,0.16,39.73,16.94
20,873706,铁拓机械,23.16,14.65,2.96,172297.0,412711389.4,27.33,26.26,20.74,20.75,20.2,1.49,67.14,30.92,3.84,2140105474.0,594302854.0,-0.09,1.14,30.11,88.6
21,688432,有研硅,13.31,14.64,1.7,544457.0,731422782.0,10.42,13.92,12.71,12.98,11.61,7.28,10.73,71.3,3.82,16605836282.0,6755698908.0,-0.15,-0.22,5.38,17.79
22,301261,恒工精密,77.08,14.16,9.56,77720.0,576047885.31,18.5,80.0,67.51,67.51,67.52,1.53,20.51,52.85,4.33,6774576308.0,2920576308.0,0.1,0.17,81.49,86.27
23,831961,创远信科,22.07,13.76,2.67,234302.0,509226546.65,15.41,22.98,19.99,19.99,19.4,3.48,22.22,189.04,4.16,3152490012.0,2327034493.0,-0.14,-0.23,0.46,48.92
24,300680,隆盛科技,42.18,13.33,4.96,308341.0,1222663217.95,16.74,43.23,37.0,37.0,37.22,1.33,17.87,47.58,5.29,9744604046.0,7277675575.0,-0.45,-0.28,63.17,76.04
25,301013,利和兴,21.56,13.18,2.51,497338.0,1034704773.11,8.82,21.8,20.12,20.12,19.05,0.93,26.28,246.65,5.91,5039500287.0,4080049715.0,0.56,0.75,56.91,83.49
26,301382,蜂助手,61.21,12.0,6.56,409048.0,2408972375.44,13.91,62.3,54.7,56.26,54.65,1.01,29.95,110.37,7.87,13489795843.0,8360038846.0,0.54,1.51,100.16,130.81
27,301220,亚香股份,87.5,11.68,9.15,73765.0,612580651.18,15.28,88.99,77.02,77.56,78.35,1.81,15.66,117.47,4.37,7070000000.0,4122124913.0,0.17,-0.11,142.32,136.36
28,831906,舜宇精工,30.7,11.64,3.2,96869.0,281307738.1,19.16,32.0,26.73,27.1,27.5,1.83,29.19,93.27,3.63,1994579000.0,1018724946.0,0.1,-3.7,22.8,80.91
29,831278,泰德股份,15.1,11.6,1.57,139581.0,199168505.51,12.56,15.1,13.4,13.65,13.53,1.07,14.31,69.85,6.32,2348442600.0,1472414832.0,0.0,2.23,14.48,72.97
30,688521,芯原股份,99.8,11.21,10.06,423854.0,4192645922.0,9.51,103.33,94.8,97.0,89.74,1.5,8.5,-82.51,23.58,49935437184.0,49749456490.0,0.0,0.0,91.04,90.35
31,300870,欧陆通,144.55,11.2,14.56,71758.0,966613692.32,12.73,144.55,128.0,132.01,129.99,1.27,7.0,70.97,7.09,14819688664.0,14819688664.0,0.15,1.46,61.87,35.37
32,301232,飞沃科技,30.13,11.06,3.0,63840.0,182694063.1,14.3,30.28,26.4,27.44,27.13,2.57,14.29,-23.36,1.56,2264641515.0,1345824694.0,-0.17,-0.26,0.23,21.98
33,301280,珠城科技,61.94,10.92,6.1,71252.0,414513539.94,15.65,63.49,54.75,55.5,55.84,1.37,26.98,33.6,3.45,6051544194.0,1635996444.0,-0.5,-0.8,40.58,48.64
34,301366,一博科技,72.3,10.84,7.07,160624.0,1109291112.03,20.39,75.43,62.13,64.68,65.23,0.96,29.36,97.26,4.98,10845000072.0,3955607758.0,0.0,0.0,59.5,66.55
35,830896,旺成科技,22.9,10.74,2.22,99766.0,220568318.7,14.07,23.3,20.39,20.39,20.68,1.66,22.47,48.17,5.59,2318035096.0,1016801449.0,0.0,-0.13,3.62,62.41
36,300553,集智股份,38.07,10.67,3.67,68287.0,245676262.21,13.55,38.25,33.59,34.5,34.4,1.42,12.89,170.02,4.35,3088249631.0,2017491554.0,-0.08,-0.1,31.78,38.44
37,832885,星辰科技,17.58,10.22,1.63,193829.0,330099239.42,25.64,19.46,15.37,15.5,15.95,3.29,22.02,139.47,7.88,2999411700.0,1547454589.0,0.06,-0.06,10.57,44.1
38,600751,海航科技,2.72,10.12,0.25,922146.0,239961862.0,11.34,2.72,2.44,2.48,2.47,3.04,3.58,52.96,1.06,7886198770.0,6999074221.0,0.0,0.0,-9.33,3.42
39,300657,弘信电子,39.68,10.07,3.63,927734.0,3617593751.06,6.69,40.17,37.76,39.5,36.05,1.11,20.32,265.69,14.6,19378127022.0,18118320433.0,0.0,-0.15,93.75,75.11
40,603386,骏亚科技,12.49,10.04,1.14,263262.0,316347500.0,10.84,12.49,11.26,11.26,11.35,3.07,8.07,-205.7,2.75,4075768774.0,4075768774.0,0.0,0.0,-4.29,12.32
41,002194,武汉凡谷,13.37,10.04,1.22,442780.0,586275451.23,6.34,13.37,12.6,12.66,12.15,1.18,8.7,147.14,3.59,9135531226.0,6808453874.0,0.0,0.0,5.28,19.16
42,605066,天正电气,10.74,10.04,0.98,2268474.0,2358508981.0,13.93,10.74,9.38,10.74,9.76,4.28,45.15,39.29,3.04,5441075978.0,5396131763.0,0.37,0.28,73.51,78.41
43,603700,宁水集团,14.25,10.04,1.3,233194.0,332229472.0,1.85,14.25,14.01,14.25,12.95,2.22,11.47,61.73,1.82,2896198500.0,2896198500.0,0.0,0.0,30.97,42.36
44,300258,精锻科技,14.25,10.04,1.3,563773.0,764623667.48,12.2,14.38,12.8,12.9,12.95,1.13,12.08,44.36,1.87,6865325556.0,6649368872.0,-0.7,-0.35,41.93,59.93
