序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,301173,N毓恬,70.59,149.17,42.26,135171.0,1030621561.84,52.67,83.8,68.88,80.0,28.33,,80.16,36.39,4.52,6200256555.0,1190283145.0,0.0,-0.17,149.17,149.17
2,830779,武汉蓝电,65.78,30.0,15.18,48233.0,295755199.72,25.26,65.78,53.0,53.0,50.6,1.26,33.7,38.34,7.35,3762616000.0,941522362.0,0.0,0.0,49.33,98.73
3,837023,芭薇股份,22.58,29.99,5.21,152912.0,312694006.61,28.32,22.58,17.66,18.86,17.37,3.11,44.62,31.78,4.84,1937364000.0,773735538.0,0.0,0.0,21.99,59.92
4,831627,力王股份,37.67,29.99,8.69,153034.0,544267607.88,26.26,37.67,30.06,30.15,28.98,1.96,32.69,81.29,7.94,3557931500.0,1763615225.0,0.0,0.0,24.74,95.99
5,835237,力佳科技,46.21,29.99,10.66,100509.0,428611253.74,30.13,46.21,35.5,35.5,35.55,2.38,15.45,31.22,6.11,3070931760.0,3006954015.0,0.0,0.04,50.57,106.48
6,831856,浩淼科技,18.43,29.97,4.25,84012.0,149312574.7,20.87,18.43,15.47,15.47,14.18,1.6,17.53,59.84,3.45,1593803418.0,883145825.0,0.0,0.0,47.44,119.67
7,836239,长虹能源,58.15,25.32,11.75,175925.0,952333379.52,25.65,60.0,48.1,48.1,46.4,1.7,35.39,28.9,8.34,7562582124.0,2890903060.0,-0.05,-0.27,65.29,103.54
8,835508,殷图网联,48.0,22.82,8.92,66453.0,304672468.19,24.31,49.0,39.5,39.5,39.08,1.93,25.52,349.46,11.72,2400000000.0,1249800000.0,0.02,-0.02,20.33,66.32
9,300195,长荣股份,7.37,20.03,1.23,677169.0,475853651.02,20.68,7.37,6.1,6.17,6.14,3.93,21.57,692.13,1.17,3122726162.0,2313534985.0,0.0,0.0,18.68,30.91
10,300619,金银河,32.08,20.01,5.35,88651.0,276002810.77,13.39,32.08,28.5,28.5,26.73,2.48,8.06,-328.03,2.62,4293776183.0,3528152882.0,0.0,0.0,14.82,33.39
11,300473,德尔股份,37.6,20.01,6.27,487801.0,1761682575.78,18.86,37.6,31.69,31.7,31.33,1.92,32.51,176.32,3.65,5676588598.0,5641879549.0,0.0,0.05,43.84,50.94
12,300530,领湃科技,30.02,19.98,5.0,151344.0,424664342.25,19.82,30.02,25.06,25.06,25.02,1.07,9.56,-27.13,75.19,5161979647.0,4751406914.0,0.0,0.0,32.6,77.32
13,300108,*ST吉药,1.28,19.63,0.21,2178113.0,263068755.88,17.76,1.28,1.09,1.13,1.07,3.24,33.22,-2.77,-1.67,852498783.0,839320863.0,0.0,0.0,-46.44,0.0
14,873152,天宏锂电,23.29,19.62,3.82,187146.0,416750697.34,23.63,24.2,19.6,19.7,19.47,2.35,27.43,248.15,9.17,2390733988.0,1589105556.0,0.0,0.04,4.16,55.79
15,838030,德众汽车,7.95,18.83,1.26,322593.0,250665305.91,26.01,8.45,6.71,6.71,6.69,3.84,33.01,177.54,3.02,1421775464.0,776930055.0,-0.38,-0.63,-0.63,40.46
16,871396,常辅股份,23.4,18.6,3.67,72619.0,162566377.46,27.52,25.13,19.7,20.3,19.73,3.64,17.29,27.78,4.28,1403772552.0,982889365.0,0.78,1.61,11.75,47.08
17,830809,安达科技,6.8,18.06,1.04,485441.0,314957872.47,27.26,7.28,5.71,5.72,5.76,3.62,15.14,-4.5,2.27,4083062795.0,2179962618.0,0.15,0.0,-7.86,36.55
18,300035,中科电气,19.45,17.52,2.9,1570271.0,2943795004.96,16.92,19.8,17.0,17.01,16.55,2.62,26.92,54.47,2.93,13331548751.0,11346184341.0,0.05,0.62,21.94,30.1
19,920106,林泰新材,106.0,16.48,15.0,45378.0,472938231.95,22.86,116.0,95.2,108.89,91.0,2.97,37.48,39.12,9.58,4227015000.0,1283208970.0,-0.61,1.38,434.81,76.67
20,688155,先惠技术,53.4,16.37,7.51,154676.0,786430428.0,16.52,54.08,46.5,47.5,45.89,2.67,12.37,29.99,3.41,6677683030.0,6677683030.0,0.02,0.02,29.05,40.75
21,430489,佳先股份,23.91,15.79,3.26,203859.0,469629833.79,20.58,25.13,20.88,21.1,20.65,1.96,23.79,195.87,6.55,3262739472.0,2048937539.0,-0.13,0.21,-7.33,45.79
22,920002,万达轴承,265.9,15.61,35.9,32241.0,777059209.12,23.48,269.0,215.0,230.0,230.0,0.98,56.07,112.58,12.75,8642313708.0,1528925000.0,0.04,3.66,299.25,295.51
23,300275,梅安森,18.18,15.21,2.4,780209.0,1384890368.96,16.79,18.94,16.29,16.67,15.78,2.91,30.59,89.72,6.27,5539247983.0,4636652870.0,0.0,0.94,18.51,23.67
24,300687,赛意信息,33.69,14.98,4.39,1058856.0,3627968153.21,9.62,35.16,32.34,35.16,29.3,2.87,32.54,109.48,5.13,13817110206.0,10962131203.0,1.78,3.06,86.86,85.11
25,836961,西磁科技,41.36,14.76,5.32,92167.0,359296981.97,14.12,41.59,36.5,36.99,36.04,1.85,24.66,109.36,10.31,2927874400.0,1545598384.0,0.1,1.3,-1.24,49.31
26,301368,丰立智能,80.0,14.3,10.01,231108.0,1814031985.91,19.0,83.99,70.69,73.0,69.99,1.57,36.04,455.4,9.85,9608000000.0,5129715200.0,0.74,1.14,74.29,73.35
27,301022,海泰科,33.0,14.11,4.08,170777.0,537465071.18,15.87,33.66,29.07,31.66,28.92,5.24,32.71,68.29,2.88,2796981264.0,1722924687.0,0.06,0.73,44.67,62.56
28,870436,大地电气,28.43,14.04,3.5,178890.0,504508440.66,21.66,31.0,25.6,27.5,24.93,3.65,20.13,-36.14,6.86,2685952680.0,2526521533.0,0.0,-0.46,6.84,69.02
29,920128,胜业电气,39.15,14.01,4.81,66560.0,245238671.65,19.22,39.9,33.3,34.95,34.34,2.78,38.92,50.12,6.06,3178588500.0,669465000.0,0.38,0.9,329.28,36.03
30,688776,国光电气,67.24,13.77,8.14,67588.0,440180873.0,14.67,68.2,59.53,60.67,59.1,1.87,6.24,151.39,3.89,7287701094.0,7287701094.0,0.0,0.0,14.82,42.61
31,301631,壹连科技,146.94,13.75,17.76,48024.0,670809563.22,16.24,151.38,130.4,131.0,129.18,3.16,36.86,39.18,4.19,9594613195.0,1914378696.0,-0.02,-0.04,4.93,11.49
32,833284,灵鸽科技,31.69,13.5,3.77,349603.0,1102033877.5,42.51,36.29,24.42,28.57,27.92,2.06,52.96,-62.2,10.69,3320657090.0,2092052269.0,-0.94,-3.65,29.88,107.8
33,831832,科达自控,32.4,13.49,3.85,96523.0,304736602.64,18.04,33.6,28.45,28.45,28.55,2.02,15.52,52.05,3.5,2503872000.0,2014736296.0,0.06,0.12,5.23,52.26
34,836263,中航泰达,10.0,12.49,1.11,74412.0,74828401.84,22.83,10.97,8.94,8.94,8.89,7.7,7.25,18.17,2.41,1412428960.0,1025937370.0,-0.99,-0.99,-0.6,31.23
35,833346,威贸电子,32.68,12.3,3.58,69174.0,215210208.63,17.29,33.83,28.8,30.17,29.1,1.47,25.55,44.25,5.85,2636544066.0,884680378.0,0.18,0.55,11.76,40.62
36,300173,福能东方,7.78,12.27,0.85,1900888.0,1441811546.41,14.29,7.87,6.88,6.88,6.93,2.04,25.87,633.32,6.29,5716165930.0,5716165930.0,0.0,0.91,-12.39,37.7
37,301392,汇成真空,89.03,12.21,9.69,41559.0,353216422.44,18.53,91.82,77.12,79.49,79.34,1.03,18.47,103.54,12.13,8903000000.0,2003175000.0,0.17,0.98,30.45,44.15
38,920066,科拜尔,43.99,12.19,4.78,36179.0,155117737.49,16.04,47.0,40.71,40.71,39.21,3.14,30.07,30.53,5.23,1974941300.0,529270436.0,0.0,0.3,-5.3,26.26
39,830839,万通液压,26.58,11.92,2.83,58122.0,148483038.42,22.19,28.27,23.0,23.7,23.75,1.63,8.93,21.86,5.43,3168734700.0,1730128748.0,0.0,0.68,32.57,65.5
40,835185,贝特瑞,25.93,11.67,2.71,302999.0,771440148.15,12.62,26.68,23.75,23.75,23.22,2.46,2.73,24.2,2.38,29231891169.0,28760855812.0,-0.08,-0.23,5.15,32.23
41,870299,灿能电力,15.5,11.35,1.58,131463.0,192022651.26,16.88,15.68,13.33,13.82,13.92,2.28,29.16,42.62,5.09,1396693778.0,698747502.0,0.0,0.0,7.71,59.63
42,688369,致远互联,29.0,11.2,2.92,104369.0,304223707.0,17.33,31.07,26.55,26.75,26.08,1.76,9.06,-19.92,2.99,3339594731.0,3339594731.0,-0.31,-0.75,31.88,44.49
