序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
157,000906,浙商中拓,6.41,6.3,0.38,262990.0,170721879.98,9.29,6.63,6.07,6.09,6.03,16.56,3.75,9.41,0.96,4541880362.0,4499953097.0,-0.47,-0.16,-18.86,-2.88
180,600751,海航科技,2.88,5.88,0.16,1130268.0,321730934.0,8.09,2.95,2.73,2.78,2.72,15.31,4.39,56.08,1.12,8350092815.0,7410784470.0,-0.35,-1.37,-3.36,9.51
232,300123,亚光科技,6.37,5.12,0.31,520215.0,329820827.06,6.77,6.52,6.11,6.14,6.06,10.19,5.2,-59.45,2.71,6509083364.0,6371744221.0,-0.47,-1.09,-11.89,9.83
234,002526,山东矿机,4.73,5.11,0.23,3076641.0,1445771477.85,8.67,4.94,4.55,4.58,4.5,10.93,17.51,57.72,2.71,8432614844.0,8313042961.0,-0.63,-0.21,8.49,33.99
237,002418,康盛股份,3.94,5.07,0.19,1914349.0,741895287.98,6.93,4.01,3.75,3.78,3.75,12.09,16.85,-340.38,2.96,4477416000.0,4477416000.0,-1.5,-0.25,40.71,61.48
283,600070,*ST富润,1.14,4.59,0.05,444766.0,46664900.0,9.17,1.14,1.04,1.04,1.09,16.07,8.78,-2.78,1.15,578459634.0,577661634.0,4.59,9.62,-32.54,-34.48
333,301287,康力源,31.78,4.16,1.27,15274.0,49146012.5,8.85,33.88,31.18,31.18,30.51,14.21,8.97,37.11,1.91,2118772600.0,541256303.0,-0.41,-0.44,0.92,11.86
352,000809,*ST和展,3.13,3.99,0.12,84704.0,26589976.0,2.33,3.16,3.09,3.16,3.01,12.36,1.03,-24.69,0.94,2581596747.0,2581596747.0,0.0,0.0,13.82,2.29
538,000878,云南铜业,13.26,3.19,0.41,501483.0,668061337.97,2.72,13.45,13.1,13.13,12.85,11.9,2.5,13.09,1.8,26568111391.0,26567589689.0,-0.15,-0.3,3.51,8.78
