序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
48,605100,华丰股份,27.58,10.01,2.51,216922,577095194.0,14.16,27.58,24.03,24.2,25.07,3.94,12.77,67.46,2.6,4719820560,4686724560,0.0,0.0,87.75,84.11
49,002992,宝明科技,69.47,10.01,6.32,31601,218325516.07,8.65,69.47,64.01,64.34,63.15,14.0,2.01,-129.13,17.16,12646534504,10920955628,0.0,0.0,14.22,10.97
50,600960,渤海汽车,3.96,10.0,0.36,313635,120898382.0,9.72,3.96,3.61,3.61,3.6,12.5,3.3,-14.89,0.83,3764041451,3764041451,0.0,0.0,-4.81,18.92
51,600802,福建水泥,4.51,10.0,0.41,96635,42981205.0,9.76,4.51,4.11,4.11,4.1,8.43,2.11,-9.24,1.88,2066700284,2066700284,0.0,0.0,4.64,19.0
52,002529,海源复材,8.03,10.0,0.73,128470,102538798.03,9.04,8.03,7.37,7.45,7.3,7.7,4.94,-37.31,5.11,2087800000,2087800000,0.0,0.0,-14.39,-9.47
53,002196,方正电机,8.81,9.99,0.8,64115,56485341.43,0.0,8.81,8.81,8.81,8.01,0.85,1.31,364932.94,3.01,4368631703,4302895686,0.0,0.0,37.66,64.37
54,002773,康弘药业,21.48,9.98,1.95,106429,222039844.05,9.52,21.48,19.62,19.73,19.53,17.67,1.55,15.22,2.34,19756836896,14721121007,0.0,0.0,7.08,9.59
55,603588,高能环境,6.28,9.98,0.57,1375460,850682470.0,5.78,6.28,5.95,5.95,5.71,19.61,9.03,12.79,1.0,9565912390,9565912390,0.0,0.0,16.95,19.85
56,002046,国机精工,18.07,9.98,1.64,242603,435916815.01,5.3,18.07,17.2,17.2,16.43,6.36,4.61,35.04,2.82,9554738628,9502470593,0.0,0.0,14.88,29.07
57,600539,狮头股份,11.9,9.98,1.08,6543,7786182.0,0.0,11.9,11.9,11.9,10.82,0.29,0.28,-288.76,7.94,2737000000,2737000000,0.0,0.0,55.35,71.47
58,002105,信隆健康,8.49,9.97,0.77,291703,244732494.46,6.35,8.49,8.0,8.0,7.72,7.38,8.0,2797.86,3.47,3124829400,3094367068,0.0,0.0,54.64,70.14
59,002114,罗平锌电,7.83,9.97,0.71,562603,437114206.0,3.79,7.83,7.56,7.82,7.12,17.94,17.4,-26.97,2.64,2532184941,2532150144,0.0,0.0,0.64,38.83
60,000929,兰州黄河,7.06,9.97,0.64,88145,60445485.9,8.41,7.06,6.52,6.56,6.42,11.47,4.75,-25.43,2.4,1311507960,1311424814,0.0,0.0,-18.66,1.29
61,605228,神通科技,13.79,9.97,1.25,142824,190821264.0,6.62,13.79,12.96,13.04,12.54,4.71,3.38,266.1,3.88,5874703274,5833291904,0.0,0.0,29.61,27.8
62,002622,皓宸医疗,3.2,9.97,0.29,479132,152153711.0,6.87,3.2,3.0,3.0,2.91,14.07,5.7,149.37,6.0,2688000000,2687920800,0.0,0.0,-3.03,15.94
63,603887,城地香江,22.96,9.96,2.08,974989,2169477729.0,8.38,22.97,21.22,22.0,20.88,6.34,16.38,-80.38,3.93,13981363906,13667615506,-0.04,0.17,61.92,44.22
64,000723,美锦能源,4.77,9.91,0.43,1036970,487208063.17,8.06,4.77,4.42,4.43,4.34,14.66,2.36,-24.21,1.45,21137759077,20969868815,0.0,0.0,-6.84,5.76
65,600423,柳化股份,3.45,9.87,0.31,560876,189512400.0,9.87,3.45,3.14,3.14,3.14,15.06,7.02,66.55,4.99,2755497840,2755497840,0.0,0.88,10.22,17.35
66,688010,福光股份,43.7,9.58,3.82,52449,223985235.0,6.44,43.87,41.3,42.0,39.88,6.87,3.27,697.61,4.13,7016540959,7016540959,0.39,1.39,35.97,53.33
67,300810,中科海讯,24.51,9.52,2.13,63782,155656401.5,11.17,25.52,23.02,23.02,22.38,11.27,5.6,-23.62,3.85,2893405500,2793814017,1.24,1.49,10.8,27.46
68,688679,通源环境,11.97,9.52,1.04,11074,12641502.0,10.98,11.97,10.77,10.93,10.93,6.82,0.84,69.31,1.37,1576325410,1576325410,2.22,3.64,3.73,14.0
69,300778,新城市,11.38,9.42,0.98,94542,106020861.15,13.37,11.98,10.59,10.6,10.4,16.76,4.64,-13.2,1.76,2322203551,2317189751,-0.78,-2.32,-11.99,1.97
70,688678,福立旺,29.16,9.38,2.5,52326,152301879.0,10.92,29.85,26.94,27.1,26.66,4.27,2.1,134.23,4.3,7278766606,7278766606,-0.41,-1.85,118.43,96.36
71,688393,安必平,43.87,9.05,3.64,83204,368936854.0,10.34,46.59,42.43,45.0,40.23,5.82,8.89,186.27,3.27,4104814955,4104814955,0.0,-1.1,115.58,153.44
72,600712,南宁百货,6.18,8.99,0.51,203729,122616986.0,9.88,6.24,5.68,5.7,5.67,15.97,3.78,448.23,4.04,3365970125,3328846933,0.65,1.48,-10.43,-14.52
73,600361,创新新材,4.65,8.9,0.38,1855710,825535655.0,9.84,4.7,4.28,4.4,4.27,27.21,11.13,18.12,1.81,19099576865,7751581597,-1.06,1.97,14.25,20.47
74,430300,辰光医疗,17.89,8.62,1.42,81674,152260330.28,13.36,19.75,17.55,18.8,16.47,6.08,12.28,-19.86,6.65,1535805084,1190251326,0.51,-0.5,7.45,54.22
75,300253,卫宁健康,13.62,8.35,1.05,2056239,2864617113.25,10.02,14.5,13.24,14.08,12.57,7.88,10.87,144.74,5.15,29841190939,25758652993,1.04,0.22,70.25,90.22
76,688143,长盈通,35.0,8.09,2.62,29079,99007748.0,9.91,35.19,31.98,32.21,32.38,4.09,3.08,241.12,3.66,4283104910,3308290160,0.86,-0.09,46.26,58.95
77,002099,海翔药业,4.9,7.93,0.36,140718,66888802.38,8.59,4.95,4.56,4.56,4.54,10.78,0.87,496.57,1.45,7931704740,7921018761,1.24,2.08,-16.67,-5.04
78,000980,众泰汽车,2.76,7.81,0.2,1977940,532086485.22,8.98,2.8,2.57,2.58,2.56,4.45,3.96,-31.35,15.42,13917431760,13776576940,0.73,3.37,-4.17,15.48
79,300593,新雷能,16.24,7.69,1.16,196705,316810898.78,7.96,16.55,15.35,15.35,15.08,5.19,4.37,-48.01,3.14,8810175137,7312279256,0.62,0.56,28.68,45.0
80,301525,儒竞科技,82.69,7.6,5.84,26518,212976013.0,8.12,82.82,76.58,78.0,76.85,8.59,5.37,39.31,2.47,7798640096,4084984980,1.34,1.24,24.85,38.74
81,301257,普蕊斯,32.77,7.58,2.31,42775,138559843.4,8.77,34.09,31.42,33.41,30.46,12.62,9.0,27.04,2.28,2605298236,1556982593,-0.33,-0.24,8.04,21.55
82,688655,迅捷兴,16.5,7.56,1.16,65230,109407216.0,9.58,17.25,15.78,15.78,15.34,5.02,4.89,-1162.36,3.23,2200935000,2200935000,-2.37,-0.66,36.93,53.06
83,002207,准油股份,5.98,7.55,0.42,153502,89086388.68,7.91,6.01,5.57,5.57,5.56,6.33,5.89,-77.7,23.08,1567091160,1559629448,0.0,0.17,-0.17,21.3
84,688160,步科股份,104.91,7.49,7.31,32473,342565209.0,8.39,110.0,101.81,106.08,97.6,9.26,3.87,178.68,11.39,8812440000,8812440000,1.66,0.5,76.35,82.9
85,688611,杭州柯林,57.63,7.46,4.0,26015,150186423.0,14.08,60.7,53.15,53.79,53.63,6.04,2.37,86.48,7.08,6314173320,6314173320,-0.86,-2.37,61.88,72.34
86,871245,威博液压,61.86,7.23,4.17,13287,80007318.86,24.74,70.02,55.75,70.02,57.69,10.27,5.46,103.57,9.05,3080628000,1506601908,3.13,5.1,134.14,61.94
87,688376,美埃科技,41.6,7.11,2.76,20453,84423327.0,6.49,42.38,39.86,40.0,38.84,7.62,4.01,29.49,3.12,5591040000,2121000502,0.12,0.48,13.97,24.59
88,688170,德龙激光,25.49,7.01,1.67,20972,52273423.0,7.26,25.63,23.9,24.04,23.82,17.81,2.63,-76.8,2.14,2634646400,2029386350,2.53,2.16,-1.7,13.34
89,002338,奥普光电,42.29,7.01,2.77,59897,247545899.0,5.49,42.4,40.23,40.23,39.52,7.28,2.5,147.62,7.72,10149600000,10149346260,1.05,1.32,-4.0,12.12
90,600619,海立股份,13.48,6.98,0.88,502619,662045008.0,6.83,13.67,12.81,13.18,12.6,3.37,6.37,477.81,2.37,14468682593,10638076277,-1.1,2.67,-0.15,10.49
91,873693,阿为特,54.6,6.91,3.53,20583,109663002.94,8.81,55.0,50.5,53.6,51.07,4.25,5.62,174.99,11.38,3969420000,1998906000,-0.38,1.49,9.84,53.98
92,300630,*ST普利,2.95,6.88,0.19,316573,91965009.75,10.87,3.03,2.73,2.73,2.76,4.2,9.36,-10.17,0.49,1332738389,997965105,0.68,1.03,-69.17,-56.68
